idx,target,error_type,taxonomy,dominant_pattern,project,cwe,yes_vote_count,known_vote_count,manual_taxonomy_valid,manual_refined_category,notes
208525,1,FN,conservative_consensus_false_negative,error_handling,vim,CWE-787,0,7,yes,semantic_context_required_false_negative,"cmdline_paste(c, i == Ctrl_R, FALSE) pastes register content into the command line. The risk depends on which register c selects, whether the register content is attacker-controlled, and whether cmdline_paste handles length growth, escaping, control characters, and expression-like behavior safely."
216903,1,FN,conservative_consensus_false_negative,error_handling,server,CWE-476,0,7,yes,semantic_context_required_false_negative,The code saves next_unit and then modifies query-tree or subquery levels through exclude_level. It must preserve traversal invariants; otherwise nodes may be skipped or modified state may be accessed incorrectly.
391628,0,FP,risky_pattern_false_alarm:bounds,bounds,linux,CWE-120,3,7,yes,bounds_false_alarm,"The key risky operation copies from buf into a fixed stack buffer char drc_name[MAX_DRC_NAME_LEN]. The nbytes >= MAX_DRC_NAME_LEN check is the relevant bounds guard before strscpy(drc_name, buf, nbytes + 1)."
242619,0,FP,risky_pattern_false_alarm:bounds,bounds,tensorflow,CWE-703,3,7,partial,resource_lifecycle_false_alarm,"The key operation is buf->Get(&tuple), which depends on Buffer::Get providing synchronization, reference-counting, and lifecycle guarantees. The bounds-sensitive loop is guarded by OP_REQUIRES(ctx, tuple.size() == ctx->num_outputs()), so the main residual concern is resource/state management rather than a clear bounds error."
462316,0,FP,risky_pattern_false_alarm:bounds,bounds,ghostpdl,CWE-787,5,7,yes,bounds_false_alarm,This is a memcpy-related bounds issue.
224154,0,FP,risky_pattern_false_alarm:bounds,bounds,mruby,CWE-476,5,7,yes,bounds_false_alarm,"pop_n(len * 2) and pop_n(len * 2 + 1) rely on len matching the number of generated stack entries. If len is inconsistent with stack state, or if len * 2 overflows, the stack state can become invalid."
448912,0,FP,risky_pattern_false_alarm:bounds,bounds,zlib,CWE-787,5,7,yes,bounds_false_alarm,"zmemcpy(put, next, copy), *put++ = *from++, and state->lens[state->have++] are memory copy/write operations and are therefore bounds-sensitive."
233862,0,FP,risky_pattern_false_alarm:bounds,bounds,deark,CWE-369,5,7,yes,bounds_false_alarm,"The risky pattern is many fixed-offset reads such as dbuf_getu16be(f, pos+0) through dbuf_getu32be(f, pos+32). If pos + 32 + 4 exceeds the file length and dbuf_get* lacks internal checks, an out-of-bounds read is possible."
513202,0,FP,risky_pattern_false_alarm:bounds,bounds,server,CWE-416,4,7,yes,bounds_false_alarm,"The allocation size dl->length + so_ext_len + 1 can overflow for a very large dl->length, leading to an undersized allocation followed by memcpy/strcpy out-of-bounds writes. The later suffix comparison is guarded by dl->length < so_ext_len, so that particular pointer subtraction is protected."
391627,0,FP,risky_pattern_false_alarm:bounds,bounds,linux,CWE-120,2,7,yes,bounds_false_alarm,"The key operation copies into char drc_name[MAX_DRC_NAME_LEN]. Because the code requires nbytes < MAX_DRC_NAME_LEN, nbytes + 1 <= MAX_DRC_NAME_LEN and strscpy should not overflow the stack buffer; this is a bounds-sensitive pattern with an explicit guard."
271526,0,FP,risky_pattern_false_alarm:bounds,bounds,tensorflow,CWE-369,5,7,partial,shape_or_arithmetic_invariant_false_alarm,"The key risk is product *= size. Large target_shape dimensions can overflow product, undermining checks such as product * missing == dense_size and output_shape.num_elements() == dense_size. The code has many OP_REQUIRES checks, so the issue is whether multiplication and TensorShape size computations are overflow-safe."
259619,0,FP,risky_pattern_false_alarm:bounds,bounds,libjpeg,CWE-787,3,7,partial,pointer_array_or_memory_layout_false_alarm,"The allocation sizes sizeof(struct Line *) * m_ucCount * 8 and sizeof(class DownsamplerBase *) * m_ucCount can overflow when m_ucCount is abnormal. If allocation is undersized, assignments such as m_ppDownsampler[i] may write out of bounds."
483053,0,FP,repair_present_but_not_applied_or_policy_blocked,bounds,linux,CWE-269,4,7,yes,repair_present_but_not_applied_or_policy_blocked,"The risk is strlcpy(cgrp->root->release_agent_path, strstrip(buf), ...). The comment indicates the release agent runs with all capabilities, so writing this path is a privilege-boundary state change."
506428,0,FP,repair_present_but_not_applied_or_policy_blocked,bounds,core,CWE-125,5,7,yes,bounds_false_alarm,"The code checks len with if (p + len > end || len == 0), but p + len itself relies on pointer-arithmetic semantics. A safer check would compare (size_t)(end - p) < len. The code also calls p_malloc(pool, len) and then memcpy without checking whether allocation returned NULL."
326119,0,FP,repair_present_but_not_applied_or_policy_blocked,error_handling,vim,CWE-416,4,7,yes,semantic_state_false_alarm,"The regex VM manipulates state through regstack_push/pop, reg_restore, restore_subexpr, rex.input += len, ADVANCE_REGINPUT, and MB_PTR_BACK. Correctness depends on backtracking-stack, input-pointer, and multibyte-boundary invariants; otherwise it can lead to loops, out-of-bounds reads, or corrupted match state."
497809,0,FP,repair_present_but_not_applied_or_policy_blocked,bounds,grep,CWE-119,5,7,yes,bounds_false_alarm,"The risky operations are pointer arithmetic and reverse reads such as tp = text + len, d = d1[U(tp[-1])], and tp += d. If len, size, tp, and ep are not kept consistent, tp[-1] or tp += d can move outside the valid range."
246495,0,FP,repair_present_but_not_applied_or_policy_blocked,error_handling,tensorflow,CWE-369,5,7,yes,divide_by_zero_or_arithmetic_safety_false_alarm,"The core safety check scans input2 for zero values before EvalDiv to prevent integer division by zero. A residual bounds/semantic concern is that the loop uses input2->bytes / sizeof(data_type) rather than the tensor shape element count; inconsistent bytes, type, shape, or buffer length could cause out-of-bounds reads."
274865,0,FP,retrieval_misleading_or_ambiguous:retrieval_low_margin,low_keyword_signal,tensorflow,CWE-703,2,7,yes,semantic_state_false_alarm,The code checks input1->type but then reads input2 and output using templated types. It therefore relies on earlier Prepare/Eval checks to guarantee input2->type == input1->type and output->type == kTfLiteBool. Incorrect requires_broadcast state can also route execution through the wrong broadcasting path.
401525,0,FP,retrieval_misleading_or_ambiguous:retrieval_low_margin,low_keyword_signal,linux,CWE-200,3,7,yes,semantic_state_false_alarm,"The main risky operations are global and per-CPU state updates during kernel clock ticks: account_process_tick, timers, RCU, scheduler_tick, POSIX CPU timers, and this_cpu_add on net_rand_state. Correctness depends on scheduler, timer, and per-CPU state invariants."
449294,0,FP,retrieval_misleading_or_ambiguous:retrieval_low_margin,low_keyword_signal,vim,CWE-122,2,7,yes,semantic_state_false_alarm,"The code changes Vim Visual-mode state through VIsual_mode, VIsual_active, VIsual_reselect, and VIsual = curwin->w_cursor. If call timing, cursor state, fold/conceal, or virtual-edit state is inconsistent, selection, display, highlighting, or clipboard state can become incorrect."
443152,0,FP,risky_pattern_false_alarm:lifecycle,lifecycle,linux,CWE-476,5,7,partial,lifecycle_or_refcount_false_alarm,"The inode eviction path calls truncate_inode_pages_final, diFree, dquot_free_inode, clear_inode, and dquot_drop. If ordering or ownership assumptions are wrong, pages, quota state, inode metadata, or lifetime state can become inconsistent. BUG_ON(!list_empty(...)) enforces a state invariant rather than recovering from it."
417093,0,FP,risky_pattern_false_alarm:lifecycle,lifecycle,MilkyTracker,CWE-416,4,7,partial,lifecycle_or_refcount_false_alarm,"If mixer->removeDevice(player) fails, throws, or leaves an internal pointer to player, the following delete player can create a dangling pointer or use-after-free. If mixer destruction also accesses or frees player, ownership ambiguity can cause double-free or UAF risks."
232405,0,FP,risky_pattern_false_alarm:memory_api,memory_api,tensorflow,CWE-476,4,7,partial,bounds_false_alarm,"The code checks that indices is a matrix but does not explicitly check indices->dim_size(1) > 0 before accessing indices->matrix<int64>()(i, 0). If indices has shape [N, 0] with N > 0, this access may be out of bounds."
