idx,target,base_pred,error_type,taxonomy,dominant_pattern,yes_vote_count,known_vote_count,project,cwe,char_len,line_count,retrieval_top1_score,retrieval_pos_neg_margin_max,author_no_yes_correct,author_no_yes_pred,base_correct,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,error_handling_keyword_count,length_bucket,lifecycle_keyword_count,memory_api_count,method_pattern,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,repair_signal,retrieval_bucket,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred
195026,1,1,correct,correct,error_handling,3,7,linux,CWE-909,1703,78,0.9666721224784851,0.0028592944145202637,1,1,1,1,1,0,22,short_<2k,1,1,method_disagreement,2,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,412,0,0,1,1
195028,1,1,correct,correct,bounds,7,7,tensorflow,CWE-401,4634,94,0.9367724657058716,0.004166722297668457,1,1,1,1,1,11,7,medium_2k_5k,3,2,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,956,1,1,1,1
195029,1,1,correct,correct,error_handling,5,7,tensorflow,CWE-125,2052,62,0.9451507329940796,0.002110421657562256,1,1,1,1,1,4,6,medium_2k_5k,0,1,method_disagreement,3,1,1,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,484,1,1,1,1
195038,1,1,correct,correct,bounds,6,7,mruby,CWE-476,877,40,0.9425991773605347,0.007182121276855469,1,1,1,1,1,11,5,short_<2k,0,0,near_consensus_yes,0,1,1,1,1,0,0,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,249,1,1,1,1
195039,1,1,correct,correct,error_handling,6,7,tensorflow,CWE-354,3831,83,0.9582131505012512,0.0006667971611022949,1,1,1,1,1,0,2,medium_2k_5k,0,0,near_consensus_yes,0,1,1,1,1,0,0,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,854,1,1,1,1
195040,1,1,correct,correct,error_handling,4,7,tensorflow,CWE-476,2726,62,0.9284627437591553,0.003389716148376465,1,1,1,1,1,0,8,medium_2k_5k,0,2,method_disagreement,0,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,516,1,1,1,1
195055,1,1,correct,correct,bounds,7,7,tensorflow,CWE-787,3819,90,1.0,0.005332231521606445,1,1,1,1,1,8,0,medium_2k_5k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,746,1,1,1,1
195056,1,1,correct,correct,error_handling,4,7,tensorflow,CWE-369,2670,65,0.942516028881073,0.0046010613441467285,0,0,1,1,1,0,1,medium_2k_5k,0,0,method_disagreement,0,1,1,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,623,1,1,1,1
195059,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,tensorflow,CWE-617,1177,40,0.9269979000091553,0.007836639881134033,0,0,0,0,0,0,10,short_<2k,0,0,all_methods_no,1,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,287,0,0,0,0
195063,1,1,correct,correct,bounds,7,7,gpac,CWE-476,16506,535,0.9643875956535339,0.0061896443367004395,1,1,1,1,1,33,21,very_long_10k_plus,0,16,all_methods_yes,4,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,3658,1,1,1,1
195069,1,1,correct,correct,error_handling,7,7,gpac,CWE-120,1715,49,0.9593364000320435,-0.0004793405532836914,1,1,1,1,1,0,5,short_<2k,1,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,403,1,1,1,1
195073,1,1,correct,correct,bounds,7,7,tensorflow,CWE-416,4701,95,0.9432036876678467,0.004166722297668457,1,1,1,1,1,11,7,medium_2k_5k,3,2,all_methods_yes,1,1,1,1,1,1,1,repair_present_override_candidate:bounds_or_shape_check,retrieval_low_margin,987,1,1,1,1
195074,1,1,correct,correct,error_handling,7,7,gpac,CWE-415,2689,83,0.9602817296981812,0.0035380125045776367,1,1,1,1,1,11,12,medium_2k_5k,0,0,all_methods_yes,4,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,645,1,1,1,1
195082,1,1,correct,correct,error_handling,4,7,linux,CWE-862,1076,40,0.9523025155067444,0.005227863788604736,1,1,1,1,1,0,1,short_<2k,0,0,method_disagreement,0,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,264,1,1,1,1
195083,1,1,correct,correct,error_handling,6,7,tensorflow,CWE-617,1232,31,0.9432876110076904,0.004552125930786133,1,1,1,1,1,0,8,short_<2k,0,0,near_consensus_yes,4,1,1,0,0,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,291,1,1,1,1
195091,1,0,FN,conservative_consensus_false_negative,bounds,0,7,tensorflow,CWE-754,2597,57,0.9504196643829346,0.0,0,0,0,0,0,11,5,medium_2k_5k,0,0,all_methods_no,0,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,585,0,0,0,0
195092,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,hermes,CWE-843,2070,64,0.9304217100143433,0.006906986236572266,0,0,0,0,0,0,16,medium_2k_5k,0,0,all_methods_no,1,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,352,0,0,0,0
195095,1,1,correct,correct,error_handling,6,7,e2guardian,CWE-295,3786,118,0.9269136786460876,0.01042938232421875,1,1,1,1,1,1,38,medium_2k_5k,1,1,near_consensus_yes,12,1,1,0,0,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,769,1,1,1,1
195220,1,1,correct,correct,error_handling,7,7,tmate-ssh-server,CWE-362,1780,68,0.9535486698150635,0.016721069812774658,1,1,1,1,1,0,5,short_<2k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,390,1,1,1,1
195230,1,1,correct,correct,error_handling,7,7,pjproject,CWE-125,7256,215,0.9508480429649353,0.004028499126434326,1,1,1,1,1,6,11,long_5k_10k,2,0,all_methods_yes,4,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1817,1,1,1,1
195231,1,1,correct,correct,error_handling,7,7,gpac,CWE-476,4464,161,0.9678078293800354,0.002812027931213379,1,1,1,1,1,4,18,medium_2k_5k,0,4,all_methods_yes,2,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,1010,1,1,1,1
195233,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,tensorflow,CWE-787,360,10,0.9283635020256042,-0.0008819103240966797,0,0,0,0,0,0,3,short_<2k,0,0,all_methods_no,1,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,70,0,0,0,0
195234,1,0,FN,conservative_consensus_false_negative,bounds,0,7,tensorflow,CWE-617,1873,45,0.9212559461593628,0.0020232200622558594,0,0,0,0,0,7,2,short_<2k,0,0,all_methods_no,0,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,406,0,0,0,0
195237,1,1,correct,correct,error_handling,7,7,ImageMagick,CWE-190,7995,257,1.0,0.011409521102905273,1,1,1,1,1,38,52,long_5k_10k,0,4,all_methods_yes,18,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_pos_margin,1841,1,1,1,1
195264,1,1,correct,correct,error_handling,2,7,pcre2,CWE-125,22734,734,0.9262903928756714,0.007847905158996582,0,0,1,1,1,3,23,very_long_10k_plus,0,0,method_disagreement,11,0,0,1,1,0,0,no_repair_verifier_candidate,retrieval_low_margin,5048,0,0,0,0
195274,1,1,correct,correct,error_handling,3,7,tensorflow,CWE-476,4637,118,0.9386633634567261,0.004723846912384033,0,0,1,1,1,1,14,medium_2k_5k,2,0,method_disagreement,0,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,924,1,1,1,1
195291,1,1,correct,correct,error_handling,7,7,tensorflow,CWE-908,3667,87,0.9583176374435425,0.0,1,1,1,1,1,0,5,medium_2k_5k,0,2,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,707,1,1,1,1
195293,1,1,correct,correct,bounds,4,7,mruby,CWE-476,1302,59,0.9120312929153442,0.0025893449783325195,0,0,1,1,1,18,2,short_<2k,0,0,method_disagreement,0,0,0,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,349,1,1,1,1
195294,1,1,correct,correct,bounds,5,7,tensorflow,CWE-843,967,27,0.9599606990814209,0.001466989517211914,1,1,1,1,1,1,1,short_<2k,1,0,method_disagreement,1,0,0,1,1,0,0,no_repair_verifier_candidate,retrieval_low_margin,221,1,1,1,1
195295,1,1,correct,correct,bounds,3,7,mruby,CWE-125,3885,178,0.9405497312545776,0.0,0,0,1,1,1,8,0,medium_2k_5k,0,0,method_disagreement,0,1,1,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1004,0,0,0,0
195296,1,1,correct,correct,error_handling,7,7,uWebSockets,CWE-787,2354,56,0.9244944453239441,-0.0011370182037353516,1,1,1,1,1,1,3,medium_2k_5k,1,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,439,1,1,1,1
195308,1,1,correct,correct,error_handling,5,7,flatpak,CWE-20,10440,275,0.9748321771621704,0.001347362995147705,1,1,1,1,1,0,34,very_long_10k_plus,1,0,method_disagreement,5,1,1,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,2159,1,1,1,1
195309,1,1,correct,correct,error_handling,7,7,squid,CWE-400,11823,346,0.9442914724349976,0.005326509475708008,1,1,1,1,1,19,33,very_long_10k_plus,1,10,all_methods_yes,15,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,2023,1,1,1,1
195328,1,1,correct,correct,error_handling,7,7,gpac,CWE-415,1840,84,0.9576780796051025,0.005679607391357422,1,1,1,1,1,4,5,short_<2k,0,1,all_methods_yes,1,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_low_margin,596,1,1,1,1
195331,1,1,correct,correct,error_handling,7,7,tensorflow,CWE-843,3246,87,0.9754899740219116,-3.9458274841308594e-05,1,1,1,1,1,0,6,medium_2k_5k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,759,1,1,1,1
195334,1,1,correct,correct,error_handling,7,7,gpac,CWE-415,2502,74,0.955898642539978,0.005014538764953613,1,1,1,1,1,2,3,medium_2k_5k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,514,1,1,1,1
195340,1,1,correct,correct,bounds,6,7,tensorflow,CWE-190,6813,129,0.9523455500602722,0.00843900442123413,1,1,1,1,1,14,4,long_5k_10k,0,0,near_consensus_yes,1,0,0,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1225,1,1,1,1
195343,1,1,correct,correct,bounds,7,7,tensorflow,CWE-125,7263,141,0.9698425531387329,0.004746079444885254,1,1,1,1,1,3,1,long_5k_10k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,1261,1,1,1,1
195385,1,1,correct,correct,error_handling,2,7,flatpak,CWE-276,3354,89,0.935231626033783,0.008996784687042236,0,0,1,1,1,0,57,medium_2k_5k,0,0,method_disagreement,23,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,412,0,0,1,1
195388,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,postgres,CWE-522,46206,1597,0.9400221109390259,0.006590843200683594,0,0,0,0,0,27,191,very_long_10k_plus,29,8,all_methods_no,13,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,8918,0,0,0,0
195389,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,tensorflow,CWE-617,699,19,0.9200434684753418,0.0,0,0,0,0,0,0,4,short_<2k,0,0,all_methods_no,0,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,196,0,0,0,0
195391,1,1,correct,correct,bounds,7,7,tensorflow,CWE-190,4681,107,0.9594714045524597,0.0034638047218322754,1,1,1,1,1,13,3,medium_2k_5k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,927,1,1,1,1
195398,1,1,correct,correct,bounds,5,7,v4l2loopback,CWE-134,1512,49,0.9611207246780396,0.002740621566772461,1,1,1,1,1,7,1,short_<2k,0,1,method_disagreement,0,0,0,0,0,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,318,1,1,1,1
195399,1,1,correct,correct,error_handling,7,7,tensorflow,CWE-476,449,14,0.9233471155166626,-0.0029261112213134766,1,1,1,1,1,0,3,short_<2k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,91,1,1,1,1
195402,1,1,correct,correct,bounds,6,7,tensorflow,CWE-190,312,10,0.9300939440727234,-0.0033718347549438477,1,1,1,1,1,5,1,short_<2k,0,0,near_consensus_yes,0,1,1,0,0,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,72,1,1,1,1
195403,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,tensorflow,CWE-190,260,8,0.9447267055511475,-0.0007879137992858887,0,0,0,0,0,4,5,short_<2k,0,1,all_methods_no,1,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,56,0,0,0,0
195404,1,1,correct,correct,bounds,7,7,tensorflow,CWE-369,4646,114,0.9650185704231262,-0.0012090802192687988,1,1,1,1,1,7,3,medium_2k_5k,0,0,all_methods_yes,3,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,980,1,1,1,1
195405,1,1,correct,correct,error_handling,7,7,ImageMagick6,CWE-190,7979,259,0.9999998807907104,0.00982201099395752,1,1,1,1,1,38,51,long_5k_10k,0,4,all_methods_yes,18,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_low_margin,1820,1,1,1,1
195409,1,1,correct,correct,error_handling,6,7,gpac,CWE-476,269,11,0.9447957277297974,0.0005376338958740234,1,1,1,1,1,0,3,short_<2k,0,0,near_consensus_yes,1,1,1,0,0,1,1,repair_present_override_candidate:added_guard,retrieval_low_margin,88,1,1,1,1
195410,1,1,correct,correct,memory_api,5,7,tensorflow,CWE-476,2921,58,0.9493675827980042,0.0026079416275024414,0,0,1,1,1,1,1,medium_2k_5k,0,2,method_disagreement,0,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_low_margin,564,0,0,1,1
195471,1,1,correct,correct,error_handling,6,7,weechat,CWE-476,3200,105,0.9251090884208679,0.004722297191619873,1,1,1,1,1,4,32,medium_2k_5k,2,3,near_consensus_yes,15,1,1,1,1,0,0,no_repair_verifier_candidate,retrieval_low_margin,623,1,1,1,1
195565,1,1,correct,correct,bounds,7,7,hhvm,CWE-119,3314,136,0.9301630854606628,0.010402560234069824,1,1,1,1,1,14,11,medium_2k_5k,0,3,all_methods_yes,4,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,876,1,1,1,1
195626,1,1,correct,correct,bounds,7,7,qemu,CWE-787,410,19,0.9710602760314941,0.0028516054153442383,1,1,1,1,1,4,3,short_<2k,0,1,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,98,1,1,1,1
195629,1,1,correct,correct,error_handling,3,7,tensorflow,CWE-476,1859,42,0.9446703791618347,0.014657318592071533,0,0,1,1,1,0,7,short_<2k,1,0,method_disagreement,5,0,0,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,387,1,1,0,0
195665,1,1,correct,correct,error_handling,5,7,njs,CWE-703,4339,155,0.9708391427993774,0.010452032089233398,1,1,1,1,1,16,21,medium_2k_5k,15,18,method_disagreement,2,1,1,0,0,0,0,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_pos_margin,900,1,1,1,1
195670,1,1,correct,correct,error_handling,7,7,pjproject,CWE-703,3296,121,0.93860924243927,0.0013625621795654297,1,1,1,1,1,0,4,medium_2k_5k,3,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,798,1,1,1,1
195691,1,1,correct,correct,error_handling,6,7,mruby,CWE-703,51274,1844,0.9957659244537354,-0.004718959331512451,1,1,1,1,1,40,122,very_long_10k_plus,0,0,near_consensus_yes,19,1,1,0,0,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,11267,1,1,1,1
195692,1,1,correct,correct,error_handling,7,7,FreeRTOS-Kernel,CWE-200,2805,55,0.9151371717453003,-0.0006622076034545898,1,1,1,1,1,2,5,medium_2k_5k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,427,1,1,1,1
195720,1,1,correct,correct,bounds,5,7,mvfst,CWE-703,3323,80,0.9019692540168762,0.004237353801727295,1,1,1,1,1,1,0,medium_2k_5k,1,0,method_disagreement,0,1,1,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,581,1,1,1,1
195740,1,1,correct,correct,error_handling,7,7,libjpeg,CWE-703,6317,170,0.9484370946884155,0.0031682252883911133,1,1,1,1,1,11,12,long_5k_10k,3,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,1457,1,1,1,1
195741,1,1,correct,correct,error_handling,7,7,libjpeg,CWE-703,5436,150,0.9254448413848877,0.007076263427734375,1,1,1,1,1,10,12,long_5k_10k,3,0,all_methods_yes,0,1,1,1,1,1,1,no_repair_verifier_candidate,retrieval_low_margin,1176,1,1,1,1
195742,1,1,correct,correct,error_handling,6,7,gpac,CWE-476,15815,498,0.9674011468887329,0.012874484062194824,1,1,1,1,1,13,50,very_long_10k_plus,1,1,near_consensus_yes,9,0,0,1,1,1,1,repair_present_override_candidate:added_guard,retrieval_pos_margin,3413,1,1,1,1
195752,1,1,correct,correct,memory_api,7,7,tensorflow,CWE-476,2398,47,0.9620176553726196,-0.000141143798828125,1,1,1,1,1,1,1,medium_2k_5k,0,2,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,472,1,1,1,1
195768,1,1,correct,correct,memory_api,7,7,tensorflow,CWE-703,1049,23,0.9521333575248718,0.0016388297080993652,1,1,1,1,1,0,1,short_<2k,0,2,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,220,1,1,1,1
195800,1,1,correct,correct,bounds,4,7,deark,CWE-369,1444,47,0.9547429084777832,0.0006301999092102051,1,1,1,1,1,1,0,short_<2k,0,0,method_disagreement,0,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,446,1,1,1,1
195801,1,1,correct,correct,error_handling,7,7,php-src,CWE-476,3632,125,0.9859155416488647,0.01088571548461914,1,1,1,1,1,0,11,medium_2k_5k,0,0,all_methods_yes,4,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_pos_margin,943,1,1,1,1
195908,1,1,correct,correct,error_handling,7,7,linux,CWE-703,4198,148,0.9569805860519409,0.005037069320678711,1,1,1,1,1,0,11,medium_2k_5k,1,1,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,827,1,1,1,1
195909,1,1,correct,correct,bounds,7,7,ImageMagick,CWE-125,79137,2411,1.0,-0.004742741584777832,1,1,1,1,1,166,140,very_long_10k_plus,4,37,all_methods_yes,39,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,13477,1,1,1,1
195954,1,1,correct,correct,lifecycle,7,7,pjproject,CWE-787,983,38,0.959976077079773,-0.0008103847503662109,1,1,1,1,1,1,3,short_<2k,4,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,249,1,1,1,1
195965,1,1,correct,correct,bounds,7,7,tensorflow,CWE-787,7615,163,0.9539929628372192,0.0031522512435913086,1,1,1,1,1,10,1,long_5k_10k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,1474,1,1,1,1
195984,1,1,correct,correct,error_handling,7,7,gpac,CWE-703,313,18,0.9499939680099487,0.0006006360054016113,1,1,1,1,1,0,1,short_<2k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,92,1,1,1,1
196276,1,0,FN,conservative_consensus_false_negative,bounds,0,7,lsquic,CWE-269,1227,33,0.9467276930809021,0.00020110607147216797,0,0,0,0,0,3,3,short_<2k,0,0,all_methods_no,0,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_low_margin,212,0,0,0,0
196316,1,1,correct,correct,bounds,7,7,barebox,CWE-200,292,18,0.9465223550796509,-0.001987636089324951,1,1,1,1,1,3,2,short_<2k,1,2,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,85,1,1,1,1
196328,1,1,correct,correct,error_handling,6,7,vim,CWE-416,18096,684,0.9577686786651611,0.005884289741516113,1,1,1,1,1,12,103,very_long_10k_plus,3,2,near_consensus_yes,43,1,1,0,0,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,4303,1,1,1,1
196578,1,1,correct,correct,error_handling,7,7,vim,CWE-787,803,29,0.946467399597168,-0.00331193208694458,1,1,1,1,1,0,5,short_<2k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,205,1,1,1,1
196587,1,1,correct,correct,bounds,7,7,tensorflow,CWE-369,3420,69,0.960565447807312,0.003684103488922119,1,1,1,1,1,14,0,medium_2k_5k,0,0,all_methods_yes,0,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:bounds_or_shape_check,retrieval_low_margin,729,1,1,1,1
196611,1,1,correct,correct,error_handling,2,7,booth,CWE-284,1007,50,0.9564363956451416,0.001924753189086914,0,0,1,1,1,1,10,short_<2k,0,0,method_disagreement,2,0,0,0,0,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,263,1,1,0,0
196621,1,0,FN,conservative_consensus_false_negative,error_handling,0,7,mruby,CWE-787,228,10,0.9528570175170898,-0.9501098990440369,0,0,0,0,0,0,1,short_<2k,0,0,all_methods_no,0,0,0,0,0,0,0,no_repair_verifier_candidate,retrieval_neg_margin,67,0,0,0,0
196629,1,1,correct,correct,bounds,2,7,tensorflow,CWE-354,10045,227,0.9379404187202454,0.005798518657684326,0,0,1,1,1,8,3,very_long_10k_plus,2,4,method_disagreement,0,0,0,1,1,0,0,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,1924,0,0,0,0
196689,1,1,correct,correct,bounds,7,7,tensorflow,CWE-703,602,19,0.9355963468551636,-0.0029178857803344727,1,1,1,1,1,5,1,short_<2k,0,0,all_methods_yes,1,1,1,1,1,1,1,repair_checked_absent_or_irrelevant:added_guard,retrieval_low_margin,165,1,1,1,1
196691,1,1,correct,correct,error_handling,5,7,gpac,CWE-703,11818,358,0.9511579275131226,0.004747152328491211,1,1,1,1,1,7,25,very_long_10k_plus,0,2,method_disagreement,4,0,0,1,1,0,0,no_repair_verifier_candidate,retrieval_low_margin,2384,1,1,1,1
