error_type,project,avg_char_len,avg_yes_vote_count,n,pred_0,pred_1,target_0,target_1
FP,Singular,1744.0,7.0,1,0,1,1,0
FP,autotrace,10785.0,7.0,1,0,1,1,0
FP,bash,720.0,7.0,1,0,1,1,0
FP,bpf,1164.0,7.0,1,0,1,1,0
FP,cairo,2984.0,7.0,1,0,1,1,0
FP,cifs-utils,3041.0,4.0,1,0,1,1,0
FP,crun,3362.0,4.0,1,0,1,1,0
FP,cryptopp,1215.0,2.0,1,0,1,1,0
FP,curl,954.0,7.0,1,0,1,1,0
FP,cyrus-imapd,3416.0,4.0,1,0,1,1,0
FP,deark,1471.0,5.0,1,0,1,1,0
FP,drogon,959.0,7.0,1,0,1,1,0
FP,e2guardian,3911.0,7.0,1,0,1,1,0
FP,elfspirit,37828.0,7.0,1,0,1,1,0
FP,envoy,2972.0,5.0,1,0,1,1,0
FP,exim,13109.0,7.0,1,0,1,1,0
FP,exiv2,8454.0,7.0,1,0,1,1,0
FP,file,3963.0,7.0,1,0,1,1,0
FP,firejail,970.0,7.0,1,0,1,1,0
FP,flatpak,10472.0,4.0,1,0,1,1,0
FP,furnace,12980.0,5.0,1,0,1,1,0
FP,gdk-pixbuf,3351.0,7.0,1,0,1,1,0
FP,gerbv,7886.0,7.0,1,0,1,1,0
FP,gimp,7880.0,7.0,1,0,1,1,0
FP,glib,3727.0,4.0,1,0,1,1,0
FP,gnulib,28169.0,7.0,1,0,1,1,0
FP,gnutls,4790.0,7.0,1,0,1,1,0
FP,grep,2383.0,5.0,1,0,1,1,0
FP,gst-plugins-good,5690.0,7.0,1,0,1,1,0
FP,gzip,4781.0,7.0,1,0,1,1,0
FP,heimdal,31969.0,7.0,1,0,1,1,0
FP,hexchat,1809.0,7.0,1,0,1,1,0
FP,hhvm,3598.0,7.0,1,0,1,1,0
FP,icecast-server,1913.0,7.0,1,0,1,1,0
FP,ipsec,1566.0,7.0,1,0,1,1,0
FP,libMeshb,6485.0,6.0,1,0,1,1,0
FP,libexpat,5684.0,6.0,1,0,1,1,0
FP,libjxl,7435.0,7.0,1,0,1,1,0
FP,liblouis,49195.0,7.0,1,0,1,1,0
FP,libssh,2430.0,2.0,1,0,1,1,0
FP,libvirt,636.0,2.0,1,0,1,1,0
FP,libvncserver,836.0,7.0,1,0,1,1,0
FP,micro-ecc,3068.0,6.0,1,0,1,1,0
FP,monit,1551.0,7.0,1,0,1,1,0
FP,mvfst,3434.0,4.0,1,0,1,1,0
FP,nagioscore,782.0,4.0,1,0,1,1,0
FP,nbdkit,19005.0,7.0,1,0,1,1,0
FP,ncurses,1187.0,7.0,1,0,1,1,0
FP,newsbeuter,1406.0,7.0,1,0,1,1,0
FP,nf,1137.0,3.0,1,0,1,1,0
FP,ntp,2436.0,5.0,1,0,1,1,0
FP,oniguruma,4381.0,4.0,1,0,1,1,0
FP,openldap,3647.0,7.0,1,0,1,1,0
FP,ovs,1051.0,3.0,1,0,1,1,0
FP,owntone-server,2738.0,3.0,1,0,1,1,0
FP,pcre2,22737.0,2.0,1,0,1,1,0
FP,perl5,82226.0,6.0,1,0,1,1,0
FP,poppler,6992.0,7.0,1,0,1,1,0
FP,puma,19424.0,7.0,1,0,1,1,0
FP,pure-ftpd,7569.0,7.0,1,0,1,1,0
FP,qcad,1296.0,7.0,1,0,1,1,0
FP,qtbase,9188.0,6.0,1,0,1,1,0
FP,raptor,8301.0,7.0,1,0,1,1,0
FP,rpm,1625.0,7.0,1,0,1,1,0
FP,rsyslog,4889.0,7.0,1,0,1,1,0
FP,samba,8880.0,5.0,1,0,1,1,0
FP,shapelib,719.0,7.0,1,0,1,1,0
FP,spice,1193.0,6.0,1,0,1,1,0
FP,swtpm,1391.0,7.0,1,0,1,1,0
FP,tar,3339.0,7.0,1,0,1,1,0
FP,tigervnc,3002.0,7.0,1,0,1,1,0
FP,tinyexr,10240.0,7.0,1,0,1,1,0
FP,tmate-ssh-server,2025.0,6.0,1,0,1,1,0
FP,tor,17737.0,5.0,1,0,1,1,0
FP,u-boot,2212.0,6.0,1,0,1,1,0
FP,uWebSockets,2571.0,7.0,1,0,1,1,0
FP,uftpd,905.0,7.0,1,0,1,1,0
FP,unbound,2728.0,7.0,1,0,1,1,0
FP,unicorn,406.0,5.0,1,0,1,1,0
FP,v4l2loopback,1518.0,4.0,1,0,1,1,0
FP,varnish-cache,334.0,4.0,1,0,1,1,0
FP,weechat,3216.0,6.0,1,0,1,1,0
FP,wireless-drivers,1400.0,4.0,1,0,1,1,0
FP,wolfMQTT,7575.0,5.0,1,0,1,1,0
FP,zlib,26047.0,5.0,1,0,1,1,0
correct,FFmpeg,1566.0,7.0,1,0,1,0,1
correct,FreeRDP,1581.0,6.0,1,0,1,0,1
correct,FreeRTOS-Kernel,2805.0,7.0,1,0,1,0,1
correct,JUCE,2024.0,7.0,1,0,1,0,1
correct,LibRaw,1410.0,7.0,1,0,1,0,1
correct,LuaJIT,1384.0,4.0,1,0,1,0,1
correct,Singular,1794.0,7.0,1,0,1,0,1
correct,autotrace,10784.0,7.0,1,0,1,0,1
correct,bash,494.0,7.0,1,0,1,0,1
correct,bpf,1123.0,6.0,1,0,1,0,1
correct,cairo,2943.0,6.0,1,0,1,0,1
correct,cifs-utils,2509.0,5.0,1,0,1,0,1
correct,crun,3429.0,5.0,1,0,1,0,1
correct,cryptopp,1059.0,5.0,1,0,1,0,1
correct,curl,789.0,7.0,1,0,1,0,1
correct,cyrus-imapd,3456.0,3.0,1,0,1,0,1
correct,deark,1444.0,4.0,1,0,1,0,1
correct,drogon,883.0,7.0,1,0,1,0,1
correct,e2guardian,3786.0,6.0,1,0,1,0,1
correct,elfspirit,37504.0,7.0,1,0,1,0,1
correct,envoy,1618.0,3.0,1,0,1,0,1
correct,evolution-data-server,583.0,0.0,1,1,0,1,0
correct,exim,13171.0,7.0,1,0,1,0,1
correct,exiv2,8217.0,7.0,1,0,1,0,1
correct,file,3962.0,7.0,1,0,1,0,1
correct,firejail,876.0,6.0,1,0,1,0,1
correct,furnace,12844.0,6.0,1,0,1,0,1
correct,gdk-pixbuf,2983.0,7.0,1,0,1,0,1
correct,gerbv,7874.0,7.0,1,0,1,0,1
correct,gimp,7841.0,7.0,1,0,1,0,1
correct,glib,3733.0,4.0,1,0,1,0,1
correct,gnulib,28165.0,7.0,1,0,1,0,1
correct,gnutls,4749.0,7.0,1,0,1,0,1
correct,grep,2320.0,5.0,1,0,1,0,1
correct,gst-plugins-good,5721.0,7.0,1,0,1,0,1
correct,gzip,4759.0,7.0,1,0,1,0,1
correct,heimdal,31845.0,6.0,1,0,1,0,1
correct,hermes,2034.0,0.0,1,1,0,1,0
correct,hexchat,2721.0,7.0,1,0,1,0,1
correct,hhvm,3314.0,7.0,1,0,1,0,1
correct,icecast-server,1092.0,7.0,1,0,1,0,1
correct,ipsec,1471.0,7.0,1,0,1,0,1
correct,libMeshb,6479.0,7.0,1,0,1,0,1
correct,libexpat,5086.0,5.0,1,0,1,0,1
correct,libjxl,7391.0,7.0,1,0,1,0,1
correct,liblouis,49196.0,7.0,1,0,1,0,1
correct,libssh,2415.0,7.0,1,0,1,0,1
correct,libvncserver,836.0,7.0,1,0,1,0,1
correct,lsquic,1305.0,0.0,1,1,0,1,0
correct,micro-ecc,2725.0,7.0,1,0,1,0,1
correct,monit,1566.0,7.0,1,0,1,0,1
correct,mvfst,3323.0,5.0,1,0,1,0,1
correct,nagioscore,776.0,3.0,1,0,1,0,1
correct,nbdkit,18843.0,6.0,1,0,1,0,1
correct,ncurses,1139.0,7.0,1,0,1,0,1
correct,newsbeuter,1385.0,7.0,1,0,1,0,1
correct,nf,1118.0,2.0,1,0,1,0,1
correct,ntp,2313.0,6.0,1,0,1,0,1
correct,oniguruma,3190.0,5.0,1,0,1,0,1
correct,open62541,545.0,0.0,1,1,0,1,0
correct,openldap,3567.0,7.0,1,0,1,0,1
correct,ovs,991.0,3.0,1,0,1,0,1
correct,owntone-server,2487.0,7.0,1,0,1,0,1
correct,perl5,81477.0,5.0,1,0,1,0,1
correct,poppler,6800.0,7.0,1,0,1,0,1
correct,postgres,47132.0,0.0,1,1,0,1,0
correct,puma,19279.0,6.0,1,0,1,0,1
correct,pure-ftpd,7610.0,6.0,1,0,1,0,1
correct,qcad,1260.0,7.0,1,0,1,0,1
correct,qtbase,9164.0,6.0,1,0,1,0,1
correct,raptor,8295.0,7.0,1,0,1,0,1
correct,rpm,744.0,7.0,1,0,1,0,1
correct,rsyslog,4516.0,7.0,1,0,1,0,1
correct,samba,8888.0,5.0,1,0,1,0,1
correct,shapelib,737.0,6.0,1,0,1,0,1
correct,spice,1191.0,7.0,1,0,1,0,1
correct,swtpm,1134.0,7.0,1,0,1,0,1
correct,tar,3123.0,7.0,1,0,1,0,1
correct,tigervnc,2972.0,7.0,1,0,1,0,1
correct,tinyexr,10037.0,7.0,1,0,1,0,1
correct,tmate-ssh-server,1780.0,7.0,1,0,1,0,1
correct,tor,17737.0,6.0,1,0,1,0,1
correct,u-boot,2210.0,6.0,1,0,1,0,1
correct,uWebSockets,2354.0,7.0,1,0,1,0,1
correct,uftpd,890.0,7.0,1,0,1,0,1
correct,unbound,2520.0,7.0,1,0,1,0,1
correct,unicorn,402.0,4.0,1,0,1,0,1
correct,util-linux,7680.0,0.0,1,1,0,1,0
correct,v4l2loopback,1512.0,5.0,1,0,1,0,1
correct,varnish-cache,295.0,6.0,1,0,1,0,1
correct,weechat,3200.0,6.0,1,0,1,0,1
correct,wireless-drivers,1417.0,3.0,1,0,1,0,1
correct,wolfMQTT,7554.0,5.0,1,0,1,0,1
correct,zlib,25995.0,6.0,1,0,1,0,1
