method,pair_id,vuln_idx,fixed_idx,project,cwe,commit_id_match,cve_match,vuln_pred,fixed_pred,pair_outcome
gpt55_rag,87,196629,241369,tensorflow,['CWE-354'],True,True,1,1,P-V
gpt55_rag,88,196689,242619,tensorflow,['CWE-703'],True,True,1,0,P-C
gpt55_rag,89,196691,242637,gpac,['CWE-703'],True,True,0,0,P-B
gpt55_rag,90,196698,242899,tensorflow,['CWE-125'],True,True,1,1,P-V
gpt55_rag,91,196705,242926,tensorflow,['CWE-20'],True,True,1,0,P-C
gpt55_rag,92,196790,245140,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,93,196801,245434,gpac,['CWE-703'],True,True,1,1,P-V
gpt55_rag,94,196829,245921,tensorflow,['CWE-476'],True,True,0,0,P-B
gpt55_rag,95,196834,246207,tensorflow,['CWE-125'],True,True,0,0,P-B
gpt55_rag,96,196841,246237,furnace,['CWE-703'],True,True,1,1,P-V
gpt55_rag,97,196846,246495,tensorflow,['CWE-369'],True,True,1,0,P-C
gpt55_rag,98,196860,246693,gpac,['CWE-787'],True,True,1,1,P-V
gpt55_rag,99,196885,247290,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,100,196889,247337,rpm,['CWE-284'],True,True,1,1,P-V
gpt55_rag,101,196893,247550,envoy,['CWE-362'],True,True,0,0,P-B
gpt55_rag,102,196894,247755,cryptopp,['CWE-399'],True,True,0,0,P-B
gpt55_rag,103,196993,249510,libjxl,['CWE-369'],True,True,1,1,P-V
gpt55_rag,104,197015,249989,gpac,['CWE-476'],True,True,1,1,P-V
gpt55_rag,105,197057,250692,drogon,['CWE-552'],True,True,1,1,P-V
gpt55_rag,106,197095,251946,tensorflow,['CWE-369'],True,True,0,0,P-B
gpt55_rag,107,197111,252437,tinyexr,['CWE-20'],True,True,1,1,P-V
gpt55_rag,108,197128,253515,mruby,['CWE-125'],True,True,0,0,P-B
gpt55_rag,109,197135,253699,linux,['CWE-703'],True,True,1,1,P-V
gpt55_rag,110,197142,253970,tensorflow,['CWE-476'],True,True,1,1,P-V
gpt55_rag,111,197185,255032,FFmpeg,['CWE-252'],True,True,0,1,P-R
gpt55_rag,112,197223,255574,njs,['CWE-787'],True,True,1,0,P-C
gpt55_rag,113,197239,255787,tensorflow,['CWE-20'],True,True,1,1,P-V
gpt55_rag,114,197242,255807,tensorflow,['CWE-908'],True,True,0,1,P-R
gpt55_rag,115,197247,255932,tensorflow,['CWE-369'],True,True,0,0,P-B
gpt55_rag,116,197262,256138,tensorflow,['CWE-125'],True,True,0,0,P-B
gpt55_rag,117,197305,256441,pjproject,['CWE-200'],True,True,1,1,P-V
gpt55_rag,118,197318,256587,tensorflow,['CWE-703'],True,True,1,0,P-C
gpt55_rag,119,197326,256947,tensorflow,['CWE-703'],True,True,0,1,P-R
gpt55_rag,120,197359,257461,tensorflow,['CWE-703'],True,True,1,0,P-C
gpt55_rag,121,197395,258082,tensorflow,['CWE-369'],True,True,0,0,P-B
gpt55_rag,122,197466,259081,tensorflow,['CWE-476'],True,True,0,0,P-B
gpt55_rag,123,197499,259515,gpac,['CWE-416'],True,True,1,1,P-V
gpt55_rag,124,197511,259619,libjpeg,['CWE-787'],True,True,1,1,P-V
gpt55_rag,125,197517,230147,glewlwyd,['CWE-787'],False,False,1,0,P-C
gpt55_rag,126,197518,259732,tensorflow,['CWE-703'],True,True,1,0,P-C
gpt55_rag,127,197565,261220,wolfMQTT,['CWE-787'],True,True,1,1,P-V
gpt55_rag,128,197593,261769,njs,['CWE-416'],True,True,0,1,P-R
gpt55_rag,129,197666,262721,njs,['CWE-703'],True,True,0,1,P-R
gpt55_rag,130,197719,262803,tensorflow,['CWE-125'],True,True,1,1,P-V
gpt55_rag,131,197748,263382,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,132,197760,263521,tensorflow,['CWE-125'],True,True,0,0,P-B
gpt55_rag,133,197796,187732,qemu,['CWE-703'],False,False,1,1,P-V
gpt55_rag,134,197801,264367,tensorflow,['CWE-345'],True,True,0,0,P-B
gpt55_rag,135,197824,264657,gpac,['CWE-416'],True,True,1,1,P-V
gpt55_rag,136,197826,264715,tensorflow,['CWE-824'],True,True,0,0,P-B
gpt55_rag,137,197893,265432,tensorflow,['CWE-703'],True,True,0,0,P-B
gpt55_rag,138,197973,267357,crun,['CWE-276'],True,True,0,0,P-B
gpt55_rag,139,197998,267917,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,140,198010,267985,radare2,['CWE-125'],True,True,0,0,P-B
gpt55_rag,141,198013,268104,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,142,198116,269323,tensorflow,['CWE-125'],True,True,1,0,P-C
gpt55_rag,143,198117,269330,tensorflow,['CWE-476'],True,True,1,1,P-V
gpt55_rag,144,198161,269941,ImageMagick,['CWE-125'],True,True,1,1,P-V
gpt55_rag,145,198169,270119,tensorflow,['CWE-369'],True,True,1,0,P-C
gpt55_rag,146,198239,270767,barebox,['CWE-200'],True,True,1,1,P-V
gpt55_rag,147,198259,270922,tensorflow,['CWE-369'],True,True,0,0,P-B
gpt55_rag,148,198282,271526,tensorflow,['CWE-369'],True,True,1,1,P-V
gpt55_rag,149,198350,273091,owntone-server,['CWE-416'],True,True,1,0,P-C
gpt55_rag,150,198374,273407,tensorflow,['CWE-703'],True,True,1,1,P-V
gpt55_rag,151,198399,273880,uftpd,['CWE-787'],True,True,1,1,P-V
gpt55_rag,152,198439,274773,mruby,['CWE-288'],True,True,1,0,P-C
gpt55_rag,153,198449,274814,pjproject,['CWE-787'],True,True,1,1,P-V
gpt55_rag,154,198452,274865,tensorflow,['CWE-703'],True,True,0,0,P-B
gpt55_rag,155,198476,275525,njs,['CWE-416'],True,True,1,0,P-C
gpt55_rag,156,198499,275987,micro-ecc,['CWE-415'],True,True,1,1,P-V
gpt55_rag,157,198523,276447,tensorflow,['CWE-416'],True,True,0,1,P-R
gpt55_rag,158,198545,276921,u-boot,['CWE-787'],True,True,1,0,P-C
gpt55_rag,159,198556,276993,mruby,['CWE-703'],True,True,0,0,P-B
gpt55_rag,160,198566,277489,libmobi,['CWE-787'],True,True,1,1,P-V
gpt55_rag,161,198662,279948,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,162,198692,281119,ipsec,['CWE-125'],True,True,0,0,P-B
gpt55_rag,163,198695,281247,MilkyTracker,['CWE-787'],True,True,1,1,P-V
gpt55_rag,164,198703,281662,LibRaw,['CWE-189'],True,True,1,1,P-V
gpt55_rag,165,198736,282862,linux,['CWE-401'],True,True,1,0,P-C
gpt55_rag,166,198743,282984,LuaJIT,['CWE-125'],True,True,0,0,P-B
gpt55_rag,167,198927,285157,radare2,['CWE-125'],True,True,1,1,P-V
gpt55_rag,168,198983,286739,swtpm,['CWE-125'],True,True,1,1,P-V
gpt55_rag,169,199159,289293,linux,['CWE-362'],True,True,0,1,P-R
gpt55_rag,170,199712,291761,linux,['CWE-415'],True,True,0,0,P-B
gpt55_rag,171,199767,292205,hexchat,['CWE-22'],True,True,0,0,P-B
gpt55_rag,172,199778,292609,puma,['CWE-444'],True,True,1,0,P-C
gpt55_rag,173,199833,293496,chafa,['CWE-476'],True,True,1,1,P-V
gpt55_rag,174,199836,293522,pjproject,['CWE-125'],True,True,1,0,P-C
gpt55_rag,175,199841,293750,radare2,['CWE-476'],True,True,1,1,P-V
gpt55_rag,176,199851,293939,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,177,199952,295887,MilkyTracker,['CWE-787'],True,True,1,1,P-V
gpt55_rag,178,199984,296226,vim,['CWE-416'],True,True,0,1,P-R
gpt55_rag,179,200113,299319,ImageMagick,['CWE-787'],True,True,1,1,P-V
gpt55_rag,180,200157,299905,exim,['CWE-264'],True,True,0,0,P-B
gpt55_rag,181,200163,299976,linux,['CWE-200'],True,True,1,1,P-V
gpt55_rag,182,200287,300731,linux,['CWE-200'],True,True,0,0,P-B
gpt55_rag,183,200305,301016,ghostpdl,['CWE-787'],True,True,1,1,P-V
gpt55_rag,184,200320,301429,samba,['CWE-665'],True,True,1,1,P-V
gpt55_rag,185,200323,301481,vim,['CWE-787'],True,True,1,1,P-V
gpt55_rag,186,200379,302095,radare2,['CWE-476'],True,True,1,1,P-V
gpt55_rag,187,200695,308163,linux,['CWE-401'],True,True,1,0,P-C
gpt55_rag,188,200781,309831,ncurses,['CWE-787'],True,True,1,0,P-C
gpt55_rag,189,200895,312399,vim,['CWE-703'],True,True,1,1,P-V
gpt55_rag,190,200934,313134,libvirt,['CWE-212'],True,True,0,0,P-B
gpt55_rag,191,200976,313850,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,192,201007,314536,pjproject,['CWE-787'],True,True,1,0,P-C
gpt55_rag,193,201343,317271,linux,['CWE-416'],True,True,0,0,P-B
gpt55_rag,194,201353,318099,wireless-drivers,['CWE-415'],True,True,1,1,P-V
gpt55_rag,195,201382,318781,gerbv,['CWE-787'],True,True,1,1,P-V
gpt55_rag,196,201384,318962,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,197,201451,319422,ImageMagick6,['CWE-787'],True,True,0,0,P-B
gpt55_rag,198,201872,325821,gnutls,['CWE-310'],True,True,1,1,P-V
gpt55_rag,199,201885,326119,vim,['CWE-416'],True,True,0,1,P-R
gpt55_rag,200,201913,326629,libarchive,['CWE-59'],True,True,1,0,P-C
gpt55_rag,201,201925,326914,linux,['CWE-476'],True,True,1,0,P-C
gpt55_rag,202,202081,328807,vim,['CWE-787'],True,True,1,1,P-V
gpt55_rag,203,202082,328836,radare2,['CWE-125'],True,True,1,1,P-V
gpt55_rag,204,202125,329925,cairo,['CWE-787'],True,True,0,1,P-R
gpt55_rag,205,202256,331760,qtbase,['CWE-787'],True,True,1,0,P-C
gpt55_rag,206,202276,332375,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,207,202304,333041,vim,['CWE-122'],True,True,0,1,P-R
gpt55_rag,208,202392,333503,php-src,['CWE-119'],True,True,1,1,P-V
gpt55_rag,209,202659,336106,net,['CWE-125'],True,True,1,1,P-V
gpt55_rag,210,202677,336484,qemu,['CWE-369'],True,True,1,1,P-V
gpt55_rag,211,202688,336807,ghostpdl,['CWE-787'],True,True,1,1,P-V
gpt55_rag,212,202708,337374,vim,['CWE-476'],True,True,0,0,P-B
gpt55_rag,213,202719,337848,linux,['CWE-704'],True,True,1,1,P-V
gpt55_rag,214,202748,338747,ImageMagick,['CWE-772'],True,True,0,1,P-R
gpt55_rag,215,202783,339712,php-src,['CWE-119'],True,True,1,1,P-V
gpt55_rag,216,202822,341817,ghostpdl,['CWE-787'],True,True,1,0,P-C
gpt55_rag,217,202888,343175,linux,['CWE-787'],True,True,0,0,P-B
gpt55_rag,218,202889,343158,linux,['CWE-787'],True,True,0,0,P-B
gpt55_rag,219,202892,343298,pure-ftpd,['CWE-434'],True,True,1,1,P-V
gpt55_rag,220,202943,344242,lua,['CWE-787'],True,True,0,0,P-B
gpt55_rag,221,203614,345131,linux,['CWE-703'],True,True,1,0,P-C
gpt55_rag,222,203902,346415,vim,['CWE-703'],True,True,1,0,P-C
gpt55_rag,223,204016,349259,squashfs-tools,['CWE-200'],True,True,0,0,P-B
gpt55_rag,224,204017,349259,squashfs-tools,['CWE-200'],True,True,0,0,P-B
gpt55_rag,225,204019,349251,squashfs-tools,['CWE-200'],True,True,0,1,P-R
gpt55_rag,226,204032,349528,linux,['CWE-772'],True,True,1,1,P-V
gpt55_rag,227,204036,349888,net,['CWE-787'],True,True,0,0,P-B
gpt55_rag,228,204073,351182,shapelib,['CWE-415'],True,True,1,1,P-V
gpt55_rag,229,204115,353015,openldap,['CWE-617'],True,True,1,1,P-V
gpt55_rag,230,204137,353124,poppler,['CWE-369'],True,True,1,1,P-V
gpt55_rag,231,204195,355014,pjproject,['CWE-125'],True,True,1,0,P-C
gpt55_rag,232,204243,355649,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,233,204278,356170,firejail,['CWE-94'],True,True,0,1,P-R
gpt55_rag,234,204351,357668,squirrel,['CWE-125'],True,True,0,0,P-B
gpt55_rag,235,204412,359206,bpf,['CWE-787'],True,True,0,0,P-B
gpt55_rag,236,204425,359365,frr,['CWE-125'],True,True,1,1,P-V
gpt55_rag,237,204438,359843,ImageMagick,['CWE-617'],True,True,1,1,P-V
gpt55_rag,238,204495,360829,linux,['CWE-193'],True,True,1,0,P-C
gpt55_rag,239,204534,361303,admesh,['CWE-125'],True,True,1,1,P-V
gpt55_rag,240,204535,361298,admesh,['CWE-125'],True,True,1,1,P-V
gpt55_rag,241,204544,361755,linux,['CWE-416'],True,True,1,1,P-V
gpt55_rag,242,204814,365760,linux,['CWE-703'],True,True,0,1,P-R
gpt55_rag,243,204830,366223,linux,['CWE-200'],True,True,1,0,P-C
gpt55_rag,244,205630,369215,linux,['CWE-94'],True,True,0,0,P-B
gpt55_rag,245,205734,371185,rizin,['CWE-787'],True,True,1,1,P-V
gpt55_rag,246,205736,371226,linux,['CWE-834'],True,True,0,0,P-B
gpt55_rag,247,205806,372352,Singular,['CWE-269'],True,True,1,1,P-V
gpt55_rag,248,205823,373535,ovs,['CWE-401'],True,True,0,0,P-B
gpt55_rag,249,206025,376350,evolution-data-server,['CWE-200'],True,True,0,0,P-B
gpt55_rag,250,206043,376678,gimp,['CWE-125'],True,True,1,1,P-V
gpt55_rag,251,206044,376682,tigervnc,['CWE-672'],True,True,1,1,P-V
gpt55_rag,252,206262,379334,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,253,206273,379671,radare2,['CWE-416'],True,True,0,0,P-B
gpt55_rag,254,206417,380955,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,255,206555,382797,php-src,['CWE-119'],True,True,1,1,P-V
gpt55_rag,256,206588,383316,php-src,['CWE-119'],True,True,1,1,P-V
gpt55_rag,257,206625,384124,raptor,['CWE-787'],True,True,1,1,P-V
gpt55_rag,258,206639,384201,linux,['CWE-703'],True,True,0,0,P-B
gpt55_rag,259,206670,384677,nbdkit,['CWE-924'],True,True,0,0,P-B
gpt55_rag,260,206676,384767,vim,['CWE-122'],True,True,0,0,P-B
gpt55_rag,261,206677,384803,vim,['CWE-703'],True,True,0,1,P-R
gpt55_rag,262,206771,386565,qcad,['CWE-191'],True,True,1,1,P-V
gpt55_rag,263,206781,386750,linux,['CWE-476'],True,True,0,1,P-R
gpt55_rag,264,206815,387149,ImageMagick,['CWE-125'],True,True,1,1,P-V
gpt55_rag,265,206845,387593,linux,['CWE-125'],True,True,0,0,P-B
gpt55_rag,266,206942,389676,vim,['CWE-125'],True,True,1,0,P-C
gpt55_rag,267,206946,389760,jasper,['CWE-703'],True,True,0,0,P-B
gpt55_rag,268,207068,391627,linux,['CWE-120'],True,True,0,0,P-B
gpt55_rag,269,207069,391628,linux,['CWE-120'],True,True,0,0,P-B
gpt55_rag,270,207150,393528,squirrel,['CWE-703'],True,True,0,0,P-B
gpt55_rag,271,207461,397644,autotrace,['CWE-787'],True,True,1,1,P-V
gpt55_rag,272,207520,398518,rizin,['CWE-787'],True,True,1,0,P-C
gpt55_rag,273,207700,400109,EternalTerminal,['CWE-362'],True,True,0,1,P-R
gpt55_rag,274,207703,400103,EternalTerminal,['CWE-362'],True,True,1,1,P-V
gpt55_rag,275,207719,400409,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,276,207753,400735,linux,['CWE-284'],True,True,1,1,P-V
gpt55_rag,277,207754,400743,linux,['CWE-284'],True,True,0,0,P-B
gpt55_rag,278,207755,400779,php-src,['CWE-200'],True,True,1,1,P-V
gpt55_rag,279,207780,401034,radare2,['CWE-703'],True,True,1,0,P-C
gpt55_rag,280,207803,401579,linux,['CWE-200'],True,True,0,0,P-B
gpt55_rag,281,207804,401525,linux,['CWE-200'],True,True,0,0,P-B
gpt55_rag,282,207990,404192,pcre2,['CWE-703'],True,True,0,0,P-B
gpt55_rag,283,208107,405333,linux,['CWE-703'],True,True,0,0,P-B
gpt55_rag,284,208115,405698,linux,['CWE-703'],True,True,1,1,P-V
gpt55_rag,285,208140,406206,util-linux,['CWE-200'],True,True,0,0,P-B
gpt55_rag,286,208370,408968,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,287,208411,409515,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,288,208505,411896,tor,['CWE-399'],True,True,0,0,P-B
gpt55_rag,289,208506,411926,heimdal,['CWE-476'],True,True,0,0,P-B
gpt55_rag,290,208522,412117,unbound,['CWE-190'],True,True,1,1,P-V
gpt55_rag,291,208525,412190,vim,['CWE-787'],True,True,0,0,P-B
gpt55_rag,292,208535,412332,rizin,['CWE-415'],True,True,1,1,P-V
gpt55_rag,293,208654,413339,php-src,['CWE-416'],True,True,0,0,P-B
gpt55_rag,294,208680,413623,radare2,['CWE-416'],True,True,1,1,P-V
gpt55_rag,295,208912,416366,vim,['CWE-416'],True,True,0,0,P-B
gpt55_rag,296,208987,417093,MilkyTracker,['CWE-416'],True,True,1,0,P-C
gpt55_rag,297,209026,417472,libvirt,['CWE-119'],True,True,1,0,P-C
gpt55_rag,298,209102,418795,vim,['CWE-703'],True,True,0,0,P-B
gpt55_rag,299,209801,421378,mujs,['CWE-476'],True,True,0,0,P-B
gpt55_rag,300,209931,424522,FreeRDP,['CWE-190'],True,True,1,0,P-C
gpt55_rag,301,209955,424969,linux,['CWE-476'],True,True,0,0,P-B
gpt55_rag,302,210050,427153,lua,['CWE-125'],True,True,0,0,P-B
gpt55_rag,303,210090,427707,file,['CWE-787'],True,True,0,1,P-R
gpt55_rag,304,210203,430335,linux,['CWE-787'],True,True,0,0,P-B
gpt55_rag,305,210204,430380,linux,['CWE-362'],True,True,0,1,P-R
gpt55_rag,306,210206,430470,squid,['CWE-400'],True,True,1,1,P-V
gpt55_rag,307,210252,431633,ImageMagick,['CWE-787'],True,True,0,0,P-B
gpt55_rag,308,210271,432093,vim,['CWE-787'],True,True,1,1,P-V
gpt55_rag,309,210273,432152,mongo,['CWE-617'],True,True,0,0,P-B
gpt55_rag,310,210278,432247,unicorn,['CWE-476'],True,True,0,1,P-R
gpt55_rag,311,210282,432346,qemu,['CWE-125'],True,True,1,0,P-C
gpt55_rag,312,210283,432351,dpdk,['CWE-703'],True,True,1,1,P-V
gpt55_rag,313,210284,432352,dpdk,['CWE-703'],True,True,1,1,P-V
gpt55_rag,314,210393,434093,vim,['CWE-416'],True,True,0,1,P-R
gpt55_rag,315,210420,434902,ghostpdl,['CWE-119'],True,True,1,1,P-V
gpt55_rag,316,210453,435409,ghostpdl,['CWE-120'],True,True,0,0,P-B
gpt55_rag,317,210484,436066,linux,['CWE-125'],True,True,0,0,P-B
gpt55_rag,318,210520,436990,vim,['CWE-125'],True,True,0,0,P-B
gpt55_rag,319,210527,437003,linux,['CWE-415'],True,True,0,0,P-B
gpt55_rag,320,210551,437291,oniguruma,['CWE-125'],True,True,1,0,P-C
gpt55_rag,321,210570,437671,radare2,['CWE-787'],True,True,1,1,P-V
gpt55_rag,322,210571,437708,linux,['CWE-401'],True,True,1,1,P-V
gpt55_rag,323,210620,438686,linux,['CWE-415'],True,True,0,0,P-B
gpt55_rag,324,210636,438876,linux,['CWE-416'],True,True,1,0,P-C
gpt55_rag,325,210669,439114,ImageMagick6,['CWE-401'],True,True,1,1,P-V
gpt55_rag,326,210692,439266,ImageMagick6,['CWE-835'],True,True,1,1,P-V
gpt55_rag,327,210700,439495,squashfs-tools,['CWE-22'],True,True,1,1,P-V
gpt55_rag,328,210701,439495,squashfs-tools,['CWE-22'],True,True,1,1,P-V
gpt55_rag,329,210702,439500,squashfs-tools,['CWE-22'],True,True,1,1,P-V
gpt55_rag,330,210834,440872,xserver,['CWE-863'],True,True,1,1,P-V
gpt55_rag,331,210866,441822,xserver,['CWE-191'],True,True,1,0,P-C
gpt55_rag,332,210887,442189,qemu,['CWE-835'],True,True,0,0,P-B
gpt55_rag,333,210896,442587,spice,['CWE-193'],True,True,1,1,P-V
gpt55_rag,334,210904,442815,curl,['CWE-125'],True,True,1,1,P-V
gpt55_rag,335,210910,442959,vim,['CWE-200'],True,True,0,0,P-B
gpt55_rag,336,210928,443152,linux,['CWE-476'],True,True,0,0,P-B
gpt55_rag,337,210944,443298,vim,['CWE-416'],True,True,0,0,P-B
gpt55_rag,338,211090,444900,cifs-utils,['CWE-20'],True,True,0,0,P-B
gpt55_rag,339,211102,445995,file-roller,['CWE-22'],True,True,1,1,P-V
