idx,paired_idx,target,project,cwe,group,primary_category,categories,repair_signal,has_added_guard,has_added_error_handling,has_api_replacement,has_state_or_lifetime_repair,changed_line_count,changed_region_count,char_len,line_count,patch_margin,patch_closer_side,added_lines,changed_line_ratio,changed_lines,diff_excerpt,has_bounds_or_shape_repair,patch_pair_cwe,patch_pair_project,pred_pattern,removed_lines
197128,253515,1,mruby,CWE-125,target1_all_wrong_semantic,bounds_size,bounds_size,added_guard|bounds_or_shape_repair,1,0,0,0,1,1,3787,174,-0.9216361045837402,fixed,"if (n < 15) {
if (n == 15) {
pop_n(14);
genop_2(s, OP_ARRAY, cursp(), 15);
}",0.005747,L140: if (n < 14) {,"--- vuln 197128
+++ fixed 253515
@@ -138,6 +138,10 @@
         gen_move(s, top, cursp(), 1);
       }
-      if (n < 14) {
+      if (n < 15) {
         n++;
+        if (n == 15) {
+          pop_n(14);
+          genop_2(s, OP_ARRAY, cursp(), 15);
+        }
       }
       else {",1,CWE-476,openldap,0|0|0|0|0|0,if (n < 14) {
197318,256587,1,tensorflow,CWE-703,target1_all_wrong_semantic,shape_invariant,shape_invariant|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,2,1,418,9,-0.903065025806427,fixed,"OP_REQUIRES(ctx, TensorShapeUtils::IsScalar(handle.shape()),
errors::InvalidArgument(""`handle` must be scalar""));",0.222222,"L2: const Tensor& handle = ctx->input(0);
L3: const string& name = handle.scalar<tstring>()();","--- vuln 197318
+++ fixed 256587
@@ -1,4 +1,6 @@
   void Compute(OpKernelContext* ctx) override {
     const Tensor& handle = ctx->input(0);
+    OP_REQUIRES(ctx, TensorShapeUtils::IsScalar(handle.shape()),
+                errors::InvalidArgument(""`handle` must be scalar""));
     const string& name = handle.scalar<tstring>()();
     auto session_state = ctx->session_state();",1,CWE-416,linux,0|0|0|0|0|0,
197826,264715,1,tensorflow,CWE-824,target1_all_wrong_semantic,error_handling,error_handling,added_guard|added_error_handling,1,1,0,0,1,1,2329,70,-0.9192160964012146,fixed,"// Skip constant folding resources as they cannot be deep copied.
return n->output_type(0) != DT_RESOURCE;",0.014286,L10: return true;,"--- vuln 197826
+++ fixed 264715
@@ -8,5 +8,6 @@
         shape_replacement_map) {
   if (n->IsConstant()) {
-    return true;
+    // Skip constant folding resources as they cannot be deep copied.
+    return n->output_type(0) != DT_RESOURCE;
   }
   if (MaybeReplaceShapeOp(n, shape_map, shape_replacement_map)) {",0,CWE-189,linux,0|0|0|0|0|0,return true;
199712,291761,1,linux,CWE-415,target1_all_wrong_semantic,lifetime_ownership,lifetime_ownership,state_or_lifetime_repair,0,0,0,1,1,1,152,7,-0.04652297496795654,fixed,"mutex_destroy(&clt->paths_ev_mutex);
mutex_destroy(&clt->paths_mutex);",0.142857,L6: kfree(clt);,"--- vuln 199712
+++ fixed 291761
@@ -4,4 +4,6 @@
 						 dev);
 
+	mutex_destroy(&clt->paths_ev_mutex);
+	mutex_destroy(&clt->paths_mutex);
 	kfree(clt);
 }",0,CWE-415,linux,0|0|0|0|0|0,
200934,313134,1,libvirt,CWE-212,target1_all_wrong_semantic,bounds_size,bounds_size|null_check,added_guard|bounds_or_shape_repair,1,0,0,0,1,1,1308,43,0.9082047343254089,vulnerable,"unsigned int xmlformatflags = VIR_DOMAIN_DEF_FORMAT_SECURE;
if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, xmlformatflags, true, NULL) < 0 ||",0.023256,"L28: if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, 0, true, NULL) < 0 ||","--- vuln 200934
+++ fixed 313134
@@ -7,4 +7,5 @@
     int rc;
     int erc = data->rv;
+    unsigned int xmlformatflags = VIR_DOMAIN_DEF_FORMAT_SECURE;
 
     /* expect failure return code with NULL expected data */
@@ -26,5 +27,5 @@
     }
 
-    if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, 0, true, NULL) < 0 ||
+    if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, xmlformatflags, true, NULL) < 0 ||
         !(xml = virBufferContentAndReset(&buf))) {
         fprintf(stderr, ""failed to format disk source xml\n"");",1,CWE-200,linux-2.6,0|0|0|0|0|0,"if (virDomainDiskSourceFormat(&buf, src, ""source"", 0, false, 0, true, NULL) < 0 ||"
202943,344242,1,lua,CWE-787,target1_all_wrong_semantic,bounds_size,bounds_size,added_guard|bounds_or_shape_repair,1,0,0,0,1,1,434,12,-0.9056589007377625,fixed,"if (isLua(ci)) {  /* if Lua function, add source:line information */
setobjs2s(L, L->top - 2, L->top - 1);  /* remove 'msg' from the stack */
L->top--;
}",0.083333,"L9: if (isLua(ci))  /* if Lua function, add source:line information */","--- vuln 202943
+++ fixed 344242
@@ -7,6 +7,9 @@
   msg = luaO_pushvfstring(L, fmt, argp);  /* format message */
   va_end(argp);
-  if (isLua(ci))  /* if Lua function, add source:line information */
+  if (isLua(ci)) {  /* if Lua function, add source:line information */
     luaG_addinfo(L, msg, ci_func(ci)->p->source, getcurrentline(ci));
+    setobjs2s(L, L->top - 2, L->top - 1);  /* remove 'msg' from the stack */
+    L->top--;
+  }
   luaG_errormsg(L);
 }",1,CWE-200,linux,0|0|0|0|0|0,"if (isLua(ci))  /* if Lua function, add source:line information */"
204243,355649,1,vim,CWE-787,target1_all_wrong_semantic,bounds_size,bounds_size|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,3,2,6093,271,-0.9143257737159729,fixed,"static	int recurse = 0;

// Limit recursion to 1000 levels.  At least at 10000 we run out of stack
// and crash.
if (recurse == 1000)
{
semsg(_(e_expression_too_recursive_str), *arg);
return FAIL;
}
++recurse;

--recurse;",0.01107,"L14: char_u	*alias;
L269: ret = eval7_leader(rettv, FALSE, start_leader, &end_leader);
L270: return ret;","--- vuln 204243
+++ fixed 355649
@@ -13,4 +13,5 @@
     int		ret = OK;
     char_u	*alias;
+    static	int recurse = 0;
 
     /*
@@ -38,4 +39,13 @@
 	return FAIL;
     }
+
+    // Limit recursion to 1000 levels.  At least at 10000 we run out of stack
+    // and crash.
+    if (recurse == 1000)
+    {
+	semsg(_(e_expression_too_recursive_str), *arg);
+	return FAIL;
+    }
+    ++recurse;
 
     switch (**arg)
@@ -268,4 +278,6 @@
     if (ret == OK && evaluate && end_leader > start_leader)
 	ret = eval7_leader(rettv, FALSE, start_leader, &end_leader);
+
+    --recurse;
     return ret;
 }",1,CWE-476,openldap,0|0|0|0|0|0,
205630,369215,1,linux,CWE-94,target1_all_wrong_semantic,null_check,null_check,added_guard,1,0,0,0,1,1,1193,42,-0.9243149757385254,fixed,kiocb->private = NULL;,0.02381,L32: kiocb->ki_flags |= IOCB_HIPRI | IOCB_ALLOC_CACHE;,"--- vuln 205630
+++ fixed 369215
@@ -30,4 +30,5 @@
 			return -EOPNOTSUPP;
 
+		kiocb->private = NULL;
 		kiocb->ki_flags |= IOCB_HIPRI | IOCB_ALLOC_CACHE;
 		kiocb->ki_complete = io_complete_rw_iopoll;",0,CWE-200,linux,0|0|0|0|0|0,
205736,371226,1,linux,CWE-834,target1_all_wrong_semantic,state_flag,state_flag,weak_or_unknown,0,0,0,0,1,1,110,4,-0.8927550911903381,fixed,remove_inode_hash(inode);,0.25,"L3: set_bit(FUSE_I_BAD, &get_fuse_inode(inode)->state);","--- vuln 205736
+++ fixed 371226
@@ -1,4 +1,5 @@
 static inline void fuse_make_bad(struct inode *inode)
 {
+	remove_inode_hash(inode);
 	set_bit(FUSE_I_BAD, &get_fuse_inode(inode)->state);
 }",0,CWE-20,linux,0|0|0|0|0|0,
206025,376350,1,evolution-data-server,CWE-200,target1_all_wrong_semantic,null_check,null_check,added_guard,1,0,0,0,1,1,295,11,-0.02186596393585205,fixed,"gchar *safe_keyid;

g_return_if_fail (keyid != NULL);

/* If the recipient looks like an email address,
* enclose it in brackets to ensure an exact match. */
if (strchr (keyid, '@') != NULL) {
safe_keyid = g_strdup_printf (""<%s>"", keyid);
} else {
safe_keyid = g_strdup (keyid);
}

g_ptr_array_add (gpg->recipients, safe_keyid);",0.090909,"L10: g_ptr_array_add (gpg->recipients, g_strdup (keyid));","--- vuln 206025
+++ fixed 376350
@@ -2,4 +2,6 @@
                        const gchar *keyid)
 {
+	gchar *safe_keyid;
+
 	if (gpg->mode != GPG_CTX_MODE_ENCRYPT && gpg->mode != GPG_CTX_MODE_EXPORT)
 		return;
@@ -8,4 +10,14 @@
 		gpg->recipients = g_ptr_array_new ();
 
-	g_ptr_array_add (gpg->recipients, g_strdup (keyid));
+	g_return_if_fail (keyid != NULL);
+
+	/* If the recipient looks like an email address,
+	 * enclose it in brackets to ensure an exact match. */
+	if (strchr (keyid, '@') != NULL) {
+		safe_keyid = g_strdup_printf (""<%s>"", keyid);
+	} else {
+		safe_keyid = g_strdup (keyid);
+	}
+
+	g_ptr_array_add (gpg->recipients, safe_keyid);
 }",0,CWE-20,openssh-portable,0|0|0|0|0|0,"g_ptr_array_add (gpg->recipients, g_strdup (keyid));"
206845,387593,1,linux,CWE-125,target1_all_wrong_semantic,bounds_size,bounds_size,bounds_or_shape_repair,0,0,0,0,1,1,352,14,-0.9194929003715515,fixed,for (i = 0; i < SNDRV_CTL_ELEM_ID_NAME_MAXLEN && id->name[i]; i++),0.071429,L9: for (i = 0; id->name[i] && i < SNDRV_CTL_ELEM_ID_NAME_MAXLEN; i++),"--- vuln 206845
+++ fixed 387593
@@ -7,5 +7,5 @@
 	h = MULTIPLIER * h + id->device;
 	h = MULTIPLIER * h + id->subdevice;
-	for (i = 0; id->name[i] && i < SNDRV_CTL_ELEM_ID_NAME_MAXLEN; i++)
+	for (i = 0; i < SNDRV_CTL_ELEM_ID_NAME_MAXLEN && id->name[i]; i++)
 		h = MULTIPLIER * h + id->name[i];
 	h = MULTIPLIER * h + id->index;",1,CWE-200,linux,0|0|0|0|0|0,for (i = 0; id->name[i] && i < SNDRV_CTL_ELEM_ID_NAME_MAXLEN; i++)
207803,401579,1,linux,CWE-200,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,1703,64,-0.00010567903518676758,fixed,"this_cpu_add(net_rand_state.s1, fast_pool->pool[cycles & 3]);",0.015625,L25: add_interrupt_bench(cycles);,"--- vuln 207803
+++ fixed 401579
@@ -24,4 +24,5 @@
 	fast_mix(fast_pool);
 	add_interrupt_bench(cycles);
+	this_cpu_add(net_rand_state.s1, fast_pool->pool[cycles & 3]);
 
 	if (unlikely(crng_init == 0)) {",0,CWE-415,gpac,0|0|0|0|0|0,
207804,401525,1,linux,CWE-200,target1_all_wrong_semantic,randomness_entropy,randomness_entropy,weak_or_unknown,0,0,0,0,1,1,384,16,0.010110795497894287,vulnerable,"
/* The current CPU might make use of net randoms without receiving IRQs
* to renew them often enough. Let's update the net_rand_state from a
* non-constant value that's not affine to the number of calls to make
* sure it's updated when there's some activity (we don't care in idle).
*/
this_cpu_add(net_rand_state.s1, rol32(jiffies, 24) + user_tick);",0.0625,L15: run_posix_cpu_timers();,"--- vuln 207804
+++ fixed 401525
@@ -14,3 +14,10 @@
 	if (IS_ENABLED(CONFIG_POSIX_TIMERS))
 		run_posix_cpu_timers();
+
+	/* The current CPU might make use of net randoms without receiving IRQs
+	 * to renew them often enough. Let's update the net_rand_state from a
+	 * non-constant value that's not affine to the number of calls to make
+	 * sure it's updated when there's some activity (we don't care in idle).
+	 */
+	this_cpu_add(net_rand_state.s1, rol32(jiffies, 24) + user_tick);
 }",0,CWE-416,linux,0|0|0|0|0|0,
208140,406206,1,util-linux,CWE-200,target1_all_wrong_semantic,other,other,added_guard,1,0,0,0,1,1,7619,310,-0.9185095429420471,fixed,"if (mnt_context_is_restricted(cxt))
sanitize_paths(cxt);
",0.003226,L293: if (oper) {,"--- vuln 208140
+++ fixed 406206
@@ -291,4 +291,7 @@
 		usage(stderr);
 
+	if (mnt_context_is_restricted(cxt))
+		sanitize_paths(cxt);
+
 	if (oper) {
 		/* MS_PROPAGATION operations, let's set the mount flags */",0,CWE-17,php,0|0|0|0|0|0,
208525,412190,1,vim,CWE-787,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,0,0,1598,70,0.8876430988311768,vulnerable,"int		save_new_cmdpos = new_cmdpos;
new_cmdpos = save_new_cmdpos;
",0.0,,"--- vuln 208525
+++ fixed 412190
@@ -3,4 +3,5 @@
     int		i;
     int		c;
+    int		save_new_cmdpos = new_cmdpos;
 
 #ifdef USE_ON_FLY_SCROLL
@@ -21,6 +22,4 @@
     /*
      * Insert the result of an expression.
-     * Need to save the current command line, to be able to enter
-     * a new one...
      */
     new_cmdpos = -1;
@@ -63,4 +62,6 @@
 #endif
     }
+    new_cmdpos = save_new_cmdpos;
+
     // remove the double quote
     redrawcmd();",0,CWE-200,linux,0|0|0|0|0|0,"* Need to save the current command line, to be able to enter
* a new one..."
208654,413339,1,php-src,CWE-416,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,4635,85,0.9130544066429138,vulnerable,php_snmp_object_handlers.get_gc = php_snmp_get_gc;,0.011765,L26: php_snmp_object_handlers.get_properties = php_snmp_get_properties;,"--- vuln 208654
+++ fixed 413339
@@ -25,4 +25,5 @@
 	php_snmp_object_handlers.has_property = php_snmp_has_property;
 	php_snmp_object_handlers.get_properties = php_snmp_get_properties;
+	php_snmp_object_handlers.get_gc = php_snmp_get_gc;
 
 	/* Register SNMP Class */",0,CWE-601,mod_auth_openidc,0|0|0|0|0|0,
208912,416366,1,vim,CWE-416,target1_all_wrong_semantic,state_flag,state_flag|null_check,added_guard|state_or_lifetime_repair,1,0,0,1,2,2,25369,1011,-0.9111117720603943,fixed,"buf_T	*b_im_ptr_buf = NULL;	// buffer where b_im_ptr is valid
b_im_ptr_buf = curbuf;
cmdline_toggle_langmap(
buf_valid(b_im_ptr_buf) ? b_im_ptr : NULL);
if (b_im_ptr != NULL && buf_valid(b_im_ptr_buf)
&& *b_im_ptr != B_IMODE_LMAP)",0.001978,"L480: cmdline_toggle_langmap(b_im_ptr);
L990: if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)","--- vuln 208912
+++ fixed 416366
@@ -31,4 +31,5 @@
     expand_T	xpc;
     long	*b_im_ptr = NULL;
+    buf_T	*b_im_ptr_buf = NULL;	// buffer where b_im_ptr is valid
     cmdline_info_T save_ccline;
     int		did_save_ccline = FALSE;
@@ -127,4 +128,5 @@
 	else
 	    b_im_ptr = &curbuf->b_p_imsearch;
+	b_im_ptr_buf = curbuf;
 	if (*b_im_ptr == B_IMODE_LMAP)
 	    State |= MODE_LANGMAP;
@@ -478,5 +480,6 @@
 
 	case Ctrl_HAT:
-		cmdline_toggle_langmap(b_im_ptr);
+		cmdline_toggle_langmap(
+				    buf_valid(b_im_ptr_buf) ? b_im_ptr : NULL);
 		goto cmdline_not_changed;
 
@@ -988,5 +991,6 @@
 
 #ifdef HAVE_INPUT_METHOD
-    if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)
+    if (b_im_ptr != NULL && buf_valid(b_im_ptr_buf)
+						  && *b_im_ptr != B_IMODE_LMAP)
 	im_save_status(b_im_ptr);
     im_set_active(FALSE);",0,CWE-362,linux,0|0|0|0|0|0,"cmdline_toggle_langmap(b_im_ptr);
if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)"
