author_no_yes_correct,author_no_yes_pred,best_ensemble_correct,best_ensemble_pred,bounds_keyword_count,char_len,cwe,error_handling_keyword_count,idx,lifecycle_keyword_count,line_count,memory_api_count,null_keyword_count,old_rag_correct,old_rag_pred,patch_contrast_correct,patch_contrast_pred,positive_weighted_rag_correct,positive_weighted_rag_pred,project,retrieval_pos_neg_margin_max,retrieval_top1_score,target,token_len_approx,yes_only_correct,yes_only_pred,zero_shot_correct,zero_shot_pred,base_pred_column,base_pred,repair_verifier_available,repair_verifier_pred,repair_present,repair_type,repair_confidence,repair_evidence,repair_reason,repair_policy_skip_reason,repair_override,repair_applied_pred,repair_applied_correct
0,0,0,0,0,1177,CWE-617,10,195059,0,40,0,1,0,0,0,0,0,0,tensorflow,0.007836639881134033,0.9269979000091553,1,287,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,33,16506,CWE-476,21,195063,0,535,16,4,1,1,1,1,1,1,gpac,0.0061896443367004395,0.9643875956535339,1,3658,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,No switch-based guard for IPOPT_END/IPOPT_NOOP exists; the target is an MPEG video demuxer with completely different state variables and operations.,"The historical repair adds a switch guard for IP option parsing (IPOPT_END/IPOPT_NOOP) in the Linux kernel, which is entirely absent and irrelevant to the gpac MPEG video demuxer target function.",verifier_not_no,0,1,1
1,1,1,1,0,1715,CWE-120,5,195069,1,49,0,0,1,1,1,1,1,1,gpac,-0.0004793405532836914,0.9593364000320435,1,403,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,The target checks `if (pps_id > 255) return -1;` but lacks any bounds check on `si->pps->sps_id` before using it to index `avc->sps[si->pps->sps_id + GF_SVC_SSPS_ID_SHIFT]`.,"The historical repair adds a lower and upper bounds check on `sps_id` before array indexing, which is absent in the target function, leaving the `sps_id` array access unguarded.",verifier_not_no,0,1,1
1,1,1,1,11,4701,CWE-416,7,195073,3,95,2,1,1,1,1,1,1,1,tensorflow,0.004166722297668457,0.9432036876678467,1,987,1,1,1,1,best_ensemble_pred,1,1,0,True,bounds_or_shape_check,high,"Target guard: `if (width <= 0 || width >= (1LL << 27) || height <= 0 || height >= (1LL << 27) || total_size >= (1LL << 29)) { OP_REQUIRES(context, false, ...); }` before sinks like `allocate_output` and `new uint16[height * width * decode.channels]`.","The target function already contains a comprehensive bounds check on width, height, and their product (total_size) that dominates the allocation sinks and blocks the execution path on failure, satisfying all six conditions for a present repair.",,1,0,0
1,1,1,1,11,2689,CWE-415,12,195074,0,83,0,4,1,1,1,1,1,1,gpac,0.0035380125045776367,0.9602817296981812,1,645,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,No use_dump_mode guard or gf_isom_box_del call exists in the target function.,"The historical repair guards a specific box deletion operation with a dump-mode flag, which is entirely absent from the target function that deals with AV1 config parsing and OBU array entries.",verifier_not_no,0,1,1
1,1,1,1,0,1076,CWE-862,1,195082,0,40,0,0,0,0,0,0,0,0,linux,0.005227863788604736,0.9523025155067444,1,264,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,No kmalloc null checks or usb_get_intf reference increments exist in recalc_intercepts; the function only performs bitwise intercept array manipulations.,"The historical repair addresses USB driver use-after-free and DMA stack leaks, which are entirely absent from the KVM recalc_intercepts target function.",verifier_not_no,0,1,1
1,1,1,1,0,1232,CWE-617,8,195083,0,31,0,4,1,1,0,0,1,1,tensorflow,0.004552125930786133,0.9432876110076904,1,291,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,Target contains `if (!TensorShape::IsValid(proto.tensor_shape())) return false;` and `if (N > 0 && proto.dtype())` which are unrelated to the historical fibsize bounds check.,"The historical repair is a bounds/shape check on a Linux kernel driver variable (fibsize) which is completely absent from the TensorFlow target function, and the verifier explicitly mandates returning YES when the evidence is primarily bounds/shape.",verifier_not_no,0,1,1
0,0,0,0,11,2597,CWE-754,5,195091,0,57,0,0,0,0,0,0,0,0,tensorflow,0.0,0.9504196643829346,1,585,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
0,0,0,0,0,2070,CWE-843,16,195092,0,64,0,1,0,0,0,0,0,0,hermes,0.006906986236572266,0.9304217100143433,1,352,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,1,3786,CWE-295,38,195095,1,118,1,12,1,1,0,0,1,1,e2guardian,0.01042938232421875,0.9269136786460876,1,769,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function sets SNI via SSL_set_tlsext_host_name and calls SSL_connect, but lacks an explicit post-connection hostname verification guard (like _SSL_check_hostname) against the peer's certificate before marking the connection as successful.","The historical repair adds an explicit hostname verification guard against the peer certificate after SSL connection, which is absent in the target function, making the target still vulnerable to CWE-295.",verifier_not_no,0,1,1
1,1,1,1,0,1780,CWE-362,5,195220,0,68,0,0,1,1,1,1,1,1,tmate-ssh-server,0.016721069812774658,0.9535486698150635,1,390,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,No HFS filesystem or btree validation logic exists in the target function; target is a CLI argument parser and session initializer for tmate-ssh-server.,The historical repair adds HFS-specific filesystem validation guards that are entirely absent and irrelevant to the target function's SSH server initialization logic.,verifier_not_no,0,1,1
1,1,1,1,6,7256,CWE-125,11,195230,2,215,0,4,1,1,1,1,1,1,pjproject,0.004028499126434326,0.9508480429649353,1,1817,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function has a size check `if ((pkt_len + 1) > (size / 4)) return;` but lacks the specific bounds/shape guard for the inner loop's pointer arithmetic and dereferences, which can advance `rb_hdr` out of bounds if `rb_len` is malicious.","The historical repair is primarily a bounds/shape check for a different project and protocol (tcpdump EIGRP), and the target function lacks equivalent inner-loop bounds guards to prevent out-of-bounds pointer advancement and dereferences.",verifier_not_no,0,1,1
1,1,1,1,4,4464,CWE-476,18,195231,0,161,4,2,1,1,1,1,1,1,gpac,0.002812027931213379,0.9678078293800354,1,1010,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"The historical repair adds NULL checks for string search functions (strchr, strstr) before pointer arithmetic, while the target function (gf_avc_parse_nalu) contains no such string search operations or corresponding NULL guards.","The historical evidence addresses NULL pointer dereferences from unchecked string search results, which is entirely unrelated to the target function's AVC NALU parsing logic and bitstream reading operations.",verifier_not_no,0,1,1
0,0,0,0,0,360,CWE-787,3,195233,0,10,0,1,0,0,0,0,0,0,tensorflow,-0.0008819103240966797,0.9283635020256042,1,70,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
0,0,0,0,7,1873,CWE-617,2,195234,0,45,0,0,0,0,0,0,0,0,tensorflow,0.0020232200622558594,0.9212559461593628,1,406,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,38,7995,CWE-190,52,195237,0,257,4,18,1,1,1,1,1,1,ImageMagick,0.011409521102905273,1.0,1,1841,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,3,22734,CWE-125,23,195264,0,734,0,11,0,0,1,1,0,0,pcre2,0.007847905158996582,0.9262903928756714,1,5048,0,0,0,0,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,1,4637,CWE-476,14,195274,2,118,0,0,0,0,0,0,0,0,tensorflow,0.004723846912384033,0.9386633634567261,1,924,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function is a TensorFlow graph optimizer (ConstantFolding::MulConvPushDown) that performs shape/property checks (e.g., `if (mul_props.empty() || conv_props.empty())`) and has no relation to USB endpoint null checks.","The historical repair adds a null/validity guard for USB endpoints in a Linux kernel driver, which is entirely unrelated to the TensorFlow target function's shape checks and graph manipulation logic.",verifier_not_no,0,1,1
1,1,1,1,0,3667,CWE-908,5,195291,0,87,2,1,1,1,1,1,1,1,tensorflow,0.0,0.9583176374435425,1,707,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"Target uses mutex_lock l(*context->input_ref_mutex(0)) and OP_REQUIRES for shape validation, which are unrelated to the historical use-after-free mutex guard.","The historical repair adds a use-after-free mutex guard for Linux kernel IDR operations, which is entirely absent and irrelevant to the TensorFlow target function that primarily performs shape/bounds validation and tensor assignment.",verifier_not_no,0,1,1
0,0,1,1,18,1302,CWE-476,2,195293,0,59,0,0,0,0,1,1,0,0,mruby,0.0025893449783325195,0.9120312929153442,1,349,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,The target function contains stack limit checks (cursp() >= slimit) but no bounds check on a buffer size analogous to the historical repair's `size >= sizeof(s->rx[n].data) - 6`.,"The historical repair is a bounds/shape check for a buffer overflow in a different project and CWE, which is irrelevant to the target's NULL pointer dereference risk, and the target lacks any equivalent guard.",verifier_not_no,0,1,1
1,1,1,1,1,967,CWE-843,1,195294,1,27,0,1,0,0,1,1,0,0,tensorflow,0.001466989517211914,0.9599606990814209,1,221,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
0,0,1,1,8,3885,CWE-125,0,195295,0,178,0,0,1,1,1,1,0,0,mruby,0.0,0.9405497312545776,1,1004,0,0,0,0,best_ensemble_pred,1,1,1,False,added_guard,high,The target function (mruby gen_assignment) contains no pointer bounds checks or buffer overflow guards analogous to the historical `if (ptr >= eptr - 3)` repair.,"The historical repair is a bounds/shape check for a buffer overflow in a different project and context, and the target function lacks any equivalent guard protecting against the same risky operation.",verifier_not_no,0,1,1
1,1,1,1,1,2354,CWE-787,3,195296,1,56,0,0,1,1,1,1,1,1,uWebSockets,-0.0011370182037353516,0.9244944453239441,1,439,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains a wildcard check (segment[0] == '+' || segment[0] == '#') and a bounds check (numTriggeredTopics == 64), but no guard matching the historical repair's validation of output_dtypes size or type.","The historical repair is a bounds/shape and type validation guard for TensorFlow dataset output_dtypes, which is entirely absent and irrelevant to the uWebSockets publish function's wildcard and recursion checks.",verifier_not_no,0,1,1
1,1,1,1,0,10440,CWE-20,34,195308,1,275,0,5,1,1,0,0,0,0,flatpak,0.001347362995147705,0.9748321771621704,1,2159,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,19,11823,CWE-400,33,195309,1,346,10,15,1,1,1,1,1,1,squid,0.005326509475708008,0.9442914724349976,1,2023,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function uses strchr to find TABs (selector, host, port) and strtok to parse CSO results, but does not null-check strtok returns before calling atoi(s_code) or atoi(s_recno), nor does it null-check strchr returns before dereferencing them.","The historical repair adds null checks on strchr/memchr results before dereference/atoi, but the target function lacks equivalent guards on its strtok/strchr results before dereference/atoi, so the repair obligation is absent.",verifier_not_no,0,1,1
1,1,1,1,4,1840,CWE-415,5,195328,0,84,1,1,1,1,1,1,1,1,gpac,0.005679607391357422,0.9576780796051025,1,596,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,3246,CWE-843,6,195331,0,87,0,1,1,1,1,1,1,1,tensorflow,-3.9458274841308594e-05,0.9754899740219116,1,759,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function is a C++ shape inference helper (ConcatShapeHelper) that uses InferenceContext APIs to merge shapes and check ranks, and does not contain the historical ragged tensor flat_values shape compatibility guard.","The historical repair adds a shape compatibility guard for ragged tensor flat_values before a flat_outer_dims operation, which is entirely absent from the target function that operates on a different abstraction (InferenceContext shape handles) and lacks the same risky operation.",verifier_not_no,0,1,1
1,1,1,1,2,2502,CWE-415,3,195334,0,74,0,0,1,1,1,1,1,1,gpac,0.005014538764953613,0.955898642539978,1,514,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"The historical repair adds a bounds check for poc_cycle_length against an array size to prevent out-of-bounds access in an H.264 SPS parser, while the target function is an ISOBMFF iloc box reader with no equivalent variable, bound, or array access.","The target function does not contain the specific bounds check (poc_cycle_length > GF_ARRAY_LENGTH) or the associated array access sink from the historical evidence, so the repair obligation is not already present.",verifier_not_no,0,1,1
1,1,1,1,14,6813,CWE-190,4,195340,0,129,0,1,0,0,1,1,1,1,tensorflow,0.00843900442123413,0.9523455500602722,1,1225,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains bounds/shape checks (FastBoundsCheck, TensorShapeUtils::IsMatrix, etc.) for a completely different operation (sparse-dense binary op), not the zip_stat path traversal guard from the historical pair.","The historical repair adds a zip_stat guard for path traversal (CWE-22) which is entirely absent and irrelevant to the target's sparse tensor operation (CWE-190), and the target's existing checks are primarily bounds/shape checks.",verifier_not_no,0,1,1
1,1,1,1,3,7263,CWE-125,1,195343,0,141,0,1,1,1,1,1,1,1,tensorflow,0.004746079444885254,0.9698425531387329,1,1261,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"Target checks row_seq_tensor.NumElements() > out_rows and col_seq_tensor.NumElements() > out_cols to guard sequence tensor accesses, whereas historical repair checks width > 0 and integer overflow bounds to guard size calculations.","The target function's bounds checks protect different variables (sequence tensor lengths vs output dimensions) against a different risky sink (tensor flat indexing vs integer overflow), so the exact historical repair obligation is not present.",verifier_not_no,0,1,1
0,0,1,1,0,3354,CWE-276,57,195385,0,89,0,23,0,0,0,0,0,0,flatpak,0.008996784687042236,0.935231626033783,1,412,0,0,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function is in a different project (flatpak) and CWE (CWE-276) with no overlapping variables, APIs, or operations with the historical Linux patches.","The historical repair evidence is entirely irrelevant to the target function as they share no semantic context, variables, or operations, so the specific guard obligation cannot be present in the target.",verifier_not_no,0,1,1
0,0,0,0,27,46206,CWE-522,191,195388,29,1597,8,13,0,0,0,0,0,0,postgres,0.006590843200683594,0.9400221109390259,1,8918,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
0,0,0,0,0,699,CWE-617,4,195389,0,19,0,0,0,0,0,0,0,0,tensorflow,0.0,0.9200434684753418,1,196,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,13,4681,CWE-190,3,195391,0,107,0,0,1,1,1,1,1,1,tensorflow,0.0034638047218322754,0.9594714045524597,1,927,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function contains no SIZE_MAX overflow guard for any allocation size, and the historical repair is primarily a bounds/shape check.","The historical repair adds a SIZE_MAX overflow guard for a specific xcalloc operation in a different project and context, which is entirely absent in the target TensorFlow function, and the repair signal is primarily bounds_or_shape_check.",verifier_not_no,0,1,1
1,1,1,1,7,1512,CWE-134,1,195398,0,49,1,0,0,0,0,0,1,1,v4l2loopback,0.002740621566772461,0.9611207246780396,1,318,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"The historical evidence is a curl CWE-287 authentication logic fix, which is unrelated to the v4l2loopback CWE-134 format string/buffer overflow target. No bounds/shape repair obligation can be mapped.","The historical repair evidence addresses a CWE-287 authentication logic flaw in curl, which is semantically unrelated to the CWE-134 format string/buffer bounds vulnerability in the v4l2loopback target, making it impossible to map any bounds/shape repair obligation.",verifier_not_no,0,1,1
1,1,1,1,0,449,CWE-476,3,195399,0,14,0,0,1,1,1,1,1,1,tensorflow,-0.0029261112213134766,0.9233471155166626,1,91,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,"The target function calls graph.GetNode(tensor_id.node()) and dereferences the returned input_node pointer without a null check, which is a different null dereference pattern than the historical cm_id->device null check.","The historical repair adds a null check for cm_id->device before accessing its node_type field, but the target function has a completely different null dereference risk (input_node from graph.GetNode) with no equivalent guard present.",verifier_not_no,0,1,1
1,1,1,1,5,312,CWE-190,1,195402,0,10,0,0,1,1,0,0,1,1,tensorflow,-0.0033718347549438477,0.9300939440727234,1,72,1,1,1,1,best_ensemble_pred,1,1,1,False,added_guard,high,Target function computes size via sizeof multiplication without any bounds/overflow guard on the input 'size' parameter.,"The historical repair guards a specific array access with a size check, which is fundamentally a bounds/shape check, and the target function contains neither this specific guard nor the same risky operation, making the historical evidence irrelevant to the target's integer overflow risk.",verifier_not_no,0,1,1
0,0,0,0,4,260,CWE-190,5,195403,0,8,1,1,0,0,0,0,0,0,tensorflow,-0.0007879137992858887,0.9447267055511475,1,56,0,0,0,0,best_ensemble_pred,0,0,,,,,,,,0,0,0
1,1,1,1,7,4646,CWE-369,3,195404,0,114,0,3,1,1,1,1,1,1,tensorflow,-0.0012090802192687988,0.9650185704231262,1,980,1,1,1,1,best_ensemble_pred,1,1,1,False,bounds_or_shape_check,high,"Target checks tensor_in.dims() == 4, which is a different semantic variable and bound than the historical evidence checking input_indices_in.dim_size(1) == input_shape_in.dim_size(0) for a different operation.","The historical repair obligation checks the second dimension of input_indices against the length of input_shape for a sparse tensor reshape, which does not map to the target's check of tensor_in.dims() == 4 for a fractional pooling operation.",verifier_not_no,0,1,1
1,1,1,1,38,7979,CWE-190,51,195405,0,259,4,18,1,1,1,1,1,1,ImageMagick6,0.00982201099395752,0.9999998807907104,1,1820,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,0,269,CWE-476,3,195409,0,11,0,1,1,1,0,0,1,1,gpac,0.0005376338958740234,0.9447957277297974,1,88,1,1,1,1,best_ensemble_pred,1,1,0,True,added_guard,high,if (ptr == NULL) return;,"The target function already contains a NULL guard for the primary pointer variable `ptr` that dominates all subsequent dereferences and operations, matching the CWE-476 repair obligation.",,1,0,0
0,0,1,1,1,2921,CWE-476,1,195410,0,58,2,0,1,1,1,1,1,1,tensorflow,0.0026079416275024414,0.9493675827980042,1,564,0,0,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
1,1,1,1,4,3200,CWE-476,32,195471,2,105,3,15,1,1,1,1,0,0,weechat,0.004722297191619873,0.9251090884208679,1,623,1,1,1,1,best_ensemble_pred,1,0,,,,,,,,0,1,1
